Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8
0,517,528,506,466,539,500,484,478,482,11.49,11.73,11.24,10.36,11.98,11.11,10.76,10.62,10.71
1,532,501,482,498,444,518,506,494,525,11.82,11.13,10.71,11.07,9.87,11.51,11.24,10.98,11.67
2,508,487,527,519,494,493,510,501,461,11.29,10.82,11.71,11.53,10.98,10.96,11.33,11.13,10.24
3,526,502,489,487,489,498,516,507,486,11.69,11.16,10.87,10.82,10.87,11.07,11.47,11.27,10.8
4,483,447,539,511,545,491,508,511,465,10.73,9.93,11.98,11.36,12.11,10.91,11.29,11.36,10.33
5,500,503,474,511,488,469,529,527,499,11.11,11.18,10.53,11.36,10.84,10.42,11.76,11.71,11.09
6,530,505,477,462,489,510,542,505,480,11.78,11.22,10.6,10.27,10.87,11.33,12.04,11.22,10.67
7,489,478,462,500,505,512,512,503,539,10.87,10.62,10.27,11.11,11.22,11.38,11.38,11.18,11.98
8,494,505,494,480,511,508,526,493,489,10.98,11.22,10.98,10.67,11.36,11.29,11.69,10.96,10.87
9,501,520,464,508,511,478,499,500,519,11.13,11.56,10.31,11.29,11.36,10.62,11.09,11.11,11.53
10,466,491,514,553,492,499,470,494,521,10.36,10.91,11.42,12.29,10.93,11.09,10.44,10.98,11.58
11,490,497,526,520,482,515,506,483,481,10.89,11.04,11.69,11.56,10.71,11.44,11.24,10.73,10.69
12,497,483,529,495,490,502,487,534,483,11.04,10.73,11.76,11.0,10.89,11.16,10.82,11.87,10.73
13,508,509,517,545,491,488,458,491,493,11.29,11.31,11.49,12.11,10.91,10.84,10.18,10.91,10.96
14,482,501,505,538,501,517,467,485,504,10.71,11.13,11.22,11.96,11.13,11.49,10.38,10.78,11.2
15,528,506,479,522,477,489,487,492,520,11.73,11.24,10.64,11.6,10.6,10.87,10.82,10.93,11.56
16,478,475,504,510,531,501,517,462,522,10.62,10.56,11.2,11.33,11.8,11.13,11.49,10.27,11.6
17,509,494,533,470,462,461,518,498,555,11.31,10.98,11.84,10.44,10.27,10.24,11.51,11.07,12.33
18,479,500,501,465,478,516,523,529,509,10.64,11.11,11.13,10.33,10.62,11.47,11.62,11.76,11.31
19,523,495,534,512,491,512,460,494,479,11.62,11.0,11.87,11.38,10.91,11.38,10.22,10.98,10.64
20,497,549,516,479,505,471,514,476,493,11.04,12.2,11.47,10.64,11.22,10.47,11.42,10.58,10.96
21,530,507,475,505,476,504,507,487,509,11.78,11.27,10.56,11.22,10.58,11.2,11.27,10.82,11.31
22,502,513,518,504,456,528,497,489,493,11.16,11.4,11.51,11.2,10.13,11.73,11.04,10.87,10.96
23,479,494,449,498,486,532,513,525,524,10.64,10.98,9.98,11.07,10.8,11.82,11.4,11.67,11.64
24,513,482,523,521,484,475,459,525,518,11.4,10.71,11.62,11.58,10.76,10.56,10.2,11.67,11.51
25,503,517,496,497,496,496,492,488,515,11.18,11.49,11.02,11.04,11.02,11.02,10.93,10.84,11.44
26,480,508,484,501,520,492,500,514,501,10.67,11.29,10.76,11.13,11.56,10.93,11.11,11.42,11.13
27,530,488,499,508,537,483,477,475,503,11.78,10.84,11.09,11.29,11.93,10.73,10.6,10.56,11.18
28,503,496,507,482,508,483,504,498,519,11.18,11.02,11.27,10.71,11.29,10.73,11.2,11.07,11.53
29,532,502,487,514,507,491,529,432,506,11.82,11.16,10.82,11.42,11.27,10.91,11.76,9.6,11.24
30,496,500,502,508,487,506,517,494,490,11.02,11.11,11.16,11.29,10.82,11.24,11.49,10.98,10.89
31,473,476,490,506,512,476,505,509,553,10.51,10.58,10.89,11.24,11.38,10.58,11.22,11.31,12.29
32,545,479,504,511,473,529,495,504,460,12.11,10.64,11.2,11.36,10.51,11.76,11.0,11.2,10.22
33,504,525,496,489,451,512,502,522,499,11.2,11.67,11.02,10.87,10.02,11.38,11.16,11.6,11.09
34,514,512,515,478,490,516,484,499,492,11.42,11.38,11.44,10.62,10.89,11.47,10.76,11.09,10.93
35,491,506,520,515,495,463,496,506,508,10.91,11.24,11.56,11.44,11.0,10.29,11.02,11.24,11.29
36,487,502,495,504,490,507,508,511,496,10.82,11.16,11.0,11.2,10.89,11.27,11.29,11.36,11.02
37,485,475,502,502,484,534,488,475,555,10.78,10.56,11.16,11.16,10.76,11.87,10.84,10.56,12.33
38,499,529,498,504,526,495,465,485,499,11.09,11.76,11.07,11.2,11.69,11.0,10.33,10.78,11.09
39,463,509,508,474,525,508,499,527,487,10.29,11.31,11.29,10.53,11.67,11.29,11.09,11.71,10.82
40,496,536,477,493,485,518,483,502,510,11.02,11.91,10.6,10.96,10.78,11.51,10.73,11.16,11.33
41,485,538,533,484,497,477,500,483,503,10.78,11.96,11.84,10.76,11.04,10.6,11.11,10.73,11.18
42,467,489,490,540,546,503,537,459,469,10.38,10.87,10.89,12.0,12.13,11.18,11.93,10.2,10.42
43,509,498,520,512,471,504,459,524,503,11.31,11.07,11.56,11.38,10.47,11.2,10.2,11.64,11.18
44,512,478,533,525,469,509,502,475,497,11.38,10.62,11.84,11.67,10.42,11.31,11.16,10.56,11.04
45,494,527,447,530,492,512,527,478,493,10.98,11.71,9.93,11.78,10.93,11.38,11.71,10.62,10.96
46,496,493,479,504,541,485,485,509,508,11.02,10.96,10.64,11.2,12.02,10.78,10.78,11.31,11.29
47,499,485,508,478,505,509,494,518,504,11.09,10.78,11.29,10.62,11.22,11.31,10.98,11.51,11.2
48,471,491,528,489,497,525,486,500,513,10.47,10.91,11.73,10.87,11.04,11.67,10.8,11.11,11.4
49,477,478,487,484,515,521,523,496,519,10.6,10.62,10.82,10.76,11.44,11.58,11.62,11.02,11.53
50,506,524,492,501,551,453,497,502,474,11.24,11.64,10.93,11.13,12.24,10.07,11.04,11.16,10.53
51,473,501,477,532,450,517,517,524,509,10.51,11.13,10.6,11.82,10.0,11.49,11.49,11.64,11.31
52,539,506,478,488,513,522,467,512,475,11.98,11.24,10.62,10.84,11.4,11.6,10.38,11.38,10.56
53,539,498,502,478,494,482,486,486,535,11.98,11.07,11.16,10.62,10.98,10.71,10.8,10.8,11.89
