Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11
0,490,520,500,510,497,524,487,495,488,516,455,518,8.17,8.67,8.33,8.5,8.28,8.73,8.12,8.25,8.13,8.6,7.58,8.63
1,528,502,503,505,500,485,463,486,520,504,500,504,8.8,8.37,8.38,8.42,8.33,8.08,7.72,8.1,8.67,8.4,8.33,8.4
2,472,519,505,487,515,516,505,508,515,518,471,469,7.87,8.65,8.42,8.12,8.58,8.6,8.42,8.47,8.58,8.63,7.85,7.82
3,521,515,527,478,489,506,498,504,501,482,473,506,8.68,8.58,8.78,7.97,8.15,8.43,8.3,8.4,8.35,8.03,7.88,8.43
4,521,477,512,494,528,479,502,473,514,490,524,486,8.68,7.95,8.53,8.23,8.8,7.98,8.37,7.88,8.57,8.17,8.73,8.1
5,497,495,469,527,493,513,488,532,521,471,518,476,8.28,8.25,7.82,8.78,8.22,8.55,8.13,8.87,8.68,7.85,8.63,7.93
6,467,515,509,502,499,508,541,499,484,518,520,438,7.78,8.58,8.48,8.37,8.32,8.47,9.02,8.32,8.07,8.63,8.67,7.3
7,540,497,493,489,537,477,526,451,510,514,495,471,9.0,8.28,8.22,8.15,8.95,7.95,8.77,7.52,8.5,8.57,8.25,7.85
8,501,512,493,466,540,505,504,498,474,483,482,542,8.35,8.53,8.22,7.77,9.0,8.42,8.4,8.3,7.9,8.05,8.03,9.03
9,501,494,491,517,498,494,484,490,454,577,519,481,8.35,8.23,8.18,8.62,8.3,8.23,8.07,8.17,7.57,9.62,8.65,8.02
10,507,502,498,520,491,522,518,467,490,499,494,492,8.45,8.37,8.3,8.67,8.18,8.7,8.63,7.78,8.17,8.32,8.23,8.2
11,501,492,467,538,485,509,517,521,478,510,482,500,8.35,8.2,7.78,8.97,8.08,8.48,8.62,8.68,7.97,8.5,8.03,8.33
12,501,458,531,474,468,502,522,531,519,454,529,511,8.35,7.63,8.85,7.9,7.8,8.37,8.7,8.85,8.65,7.57,8.82,8.52
13,504,491,480,526,538,488,502,475,511,475,507,503,8.4,8.18,8.0,8.77,8.97,8.13,8.37,7.92,8.52,7.92,8.45,8.38
14,504,517,485,478,522,516,490,501,476,496,508,507,8.4,8.62,8.08,7.97,8.7,8.6,8.17,8.35,7.93,8.27,8.47,8.45
15,474,470,459,524,504,528,492,464,550,492,541,502,7.9,7.83,7.65,8.73,8.4,8.8,8.2,7.73,9.17,8.2,9.02,8.37
16,483,497,543,512,484,482,472,499,510,505,466,547,8.05,8.28,9.05,8.53,8.07,8.03,7.87,8.32,8.5,8.42,7.77,9.12
17,531,498,496,480,482,521,529,471,501,500,490,501,8.85,8.3,8.27,8.0,8.03,8.68,8.82,7.85,8.35,8.33,8.17,8.35
