Run #,Times 0,Times 1,Times 2,Times 3,Percent 0,Percent 1,Percent 2,Percent 3
0,480,501,525,494,24.0,25.05,26.25,24.7
1,516,514,485,485,25.8,25.7,24.25,24.25
2,484,511,510,495,24.2,25.55,25.5,24.75
3,494,531,507,468,24.7,26.55,25.35,23.4
4,468,500,514,518,23.4,25.0,25.7,25.9
5,465,476,545,514,23.25,23.8,27.25,25.7
6,497,519,492,492,24.85,25.95,24.6,24.6
7,484,481,521,514,24.2,24.05,26.05,25.7
8,497,521,502,480,24.85,26.05,25.1,24.0
9,473,540,510,477,23.65,27.0,25.5,23.85
10,484,518,509,489,24.2,25.9,25.45,24.45
11,511,504,520,465,25.55,25.2,26.0,23.25
12,500,484,497,519,25.0,24.2,24.85,25.95
13,523,502,496,479,26.15,25.1,24.8,23.95
14,497,491,505,507,24.85,24.55,25.25,25.35
15,466,496,527,511,23.3,24.8,26.35,25.55
16,484,503,489,524,24.2,25.15,24.45,26.2
17,509,525,512,454,25.45,26.25,25.6,22.7
18,481,501,490,528,24.05,25.05,24.5,26.4
19,497,488,517,498,24.85,24.4,25.85,24.9
20,481,508,506,505,24.05,25.4,25.3,25.25
21,518,462,529,491,25.9,23.1,26.45,24.55
22,498,479,524,499,24.9,23.95,26.2,24.95
23,510,490,532,468,25.5,24.5,26.6,23.4
24,512,474,483,531,25.6,23.7,24.15,26.55
25,523,485,477,515,26.15,24.25,23.85,25.75
26,512,513,493,482,25.6,25.65,24.65,24.1
27,519,481,499,501,25.95,24.05,24.95,25.05
28,524,473,508,495,26.2,23.65,25.4,24.75
29,509,470,506,515,25.45,23.5,25.3,25.75
30,533,477,487,503,26.65,23.85,24.35,25.15
31,494,507,503,496,24.7,25.35,25.15,24.8
32,522,507,463,508,26.1,25.35,23.15,25.4
33,521,498,503,478,26.05,24.9,25.15,23.9
34,483,512,508,497,24.15,25.6,25.4,24.85
35,493,498,501,508,24.65,24.9,25.05,25.4
36,504,488,516,492,25.2,24.4,25.8,24.6
37,483,514,505,498,24.15,25.7,25.25,24.9
38,518,532,469,481,25.9,26.6,23.45,24.05
39,493,506,488,513,24.65,25.3,24.4,25.65
40,517,482,500,501,25.85,24.1,25.0,25.05
41,468,537,495,500,23.4,26.85,24.75,25.0
42,521,507,467,505,26.05,25.35,23.35,25.25
43,498,469,540,493,24.9,23.45,27.0,24.65
44,490,494,494,522,24.5,24.7,24.7,26.1
45,524,499,506,471,26.2,24.95,25.3,23.55
46,490,509,501,500,24.5,25.45,25.05,25.0
47,520,492,474,514,26.0,24.6,23.7,25.7
48,503,478,476,543,25.15,23.9,23.8,27.15
49,509,516,475,500,25.45,25.8,23.75,25.0
50,529,516,480,475,26.45,25.8,24.0,23.75
51,470,492,511,527,23.5,24.6,25.55,26.35
52,480,498,517,505,24.0,24.9,25.85,25.25
53,483,487,516,514,24.15,24.35,25.8,25.7
54,472,504,498,526,23.6,25.2,24.9,26.3
55,463,502,491,544,23.15,25.1,24.55,27.2
56,483,517,515,485,24.15,25.85,25.75,24.25
57,503,499,517,481,25.15,24.95,25.85,24.05
58,486,519,523,472,24.3,25.95,26.15,23.6
59,519,461,534,486,25.95,23.05,26.7,24.3
60,488,520,486,506,24.4,26.0,24.3,25.3
61,484,498,529,489,24.2,24.9,26.45,24.45
62,477,471,508,544,23.85,23.55,25.4,27.2
63,478,501,495,526,23.9,25.05,24.75,26.3
64,508,526,467,499,25.4,26.3,23.35,24.95
65,503,510,515,472,25.15,25.5,25.75,23.6
66,479,537,488,496,23.95,26.85,24.4,24.8
67,491,491,527,491,24.55,24.55,26.35,24.55
68,497,515,495,493,24.85,25.75,24.75,24.65
69,506,498,485,511,25.3,24.9,24.25,25.55
