Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17
0,513,495,500,494,488,489,524,461,512,508,502,483,496,522,551,483,480,499,5.7,5.5,5.56,5.49,5.42,5.43,5.82,5.12,5.69,5.64,5.58,5.37,5.51,5.8,6.12,5.37,5.33,5.54
1,491,522,514,522,489,493,513,495,522,526,519,474,493,488,478,473,495,493,5.46,5.8,5.71,5.8,5.43,5.48,5.7,5.5,5.8,5.84,5.77,5.27,5.48,5.42,5.31,5.26,5.5,5.48
2,482,519,493,488,495,551,482,536,458,481,521,477,482,521,503,470,539,502,5.36,5.77,5.48,5.42,5.5,6.12,5.36,5.96,5.09,5.34,5.79,5.3,5.36,5.79,5.59,5.22,5.99,5.58
3,499,508,512,499,476,479,454,497,511,501,543,521,483,503,515,475,505,519,5.54,5.64,5.69,5.54,5.29,5.32,5.04,5.52,5.68,5.57,6.03,5.79,5.37,5.59,5.72,5.28,5.61,5.77
4,486,510,524,490,478,488,496,494,499,494,537,519,493,477,510,480,547,478,5.4,5.67,5.82,5.44,5.31,5.42,5.51,5.49,5.54,5.49,5.97,5.77,5.48,5.3,5.67,5.33,6.08,5.31
5,465,510,476,512,482,505,508,527,487,464,532,510,489,508,529,512,471,513,5.17,5.67,5.29,5.69,5.36,5.61,5.64,5.86,5.41,5.16,5.91,5.67,5.43,5.64,5.88,5.69,5.23,5.7
6,529,478,515,491,541,505,464,492,475,509,536,491,523,462,489,493,510,497,5.88,5.31,5.72,5.46,6.01,5.61,5.16,5.47,5.28,5.66,5.96,5.46,5.81,5.13,5.43,5.48,5.67,5.52
7,495,494,454,505,523,511,504,503,485,525,495,488,545,502,470,486,515,500,5.5,5.49,5.04,5.61,5.81,5.68,5.6,5.59,5.39,5.83,5.5,5.42,6.06,5.58,5.22,5.4,5.72,5.56
8,501,513,538,452,556,483,507,499,463,496,494,471,509,504,492,523,494,505,5.57,5.7,5.98,5.02,6.18,5.37,5.63,5.54,5.14,5.51,5.49,5.23,5.66,5.6,5.47,5.81,5.49,5.61
9,472,547,479,511,523,462,553,487,481,508,478,507,530,505,525,484,476,472,5.24,6.08,5.32,5.68,5.81,5.13,6.14,5.41,5.34,5.64,5.31,5.63,5.89,5.61,5.83,5.38,5.29,5.24
10,505,484,485,519,463,467,529,548,519,484,484,540,482,493,486,539,501,472,5.61,5.38,5.39,5.77,5.14,5.19,5.88,6.09,5.77,5.38,5.38,6.0,5.36,5.48,5.4,5.99,5.57,5.24
11,488,542,474,507,538,528,518,490,488,508,492,483,511,464,539,492,474,464,5.42,6.02,5.27,5.63,5.98,5.87,5.76,5.44,5.42,5.64,5.47,5.37,5.68,5.16,5.99,5.47,5.27,5.16
12,513,492,507,508,510,452,523,499,481,529,535,499,494,490,502,447,511,508,5.7,5.47,5.63,5.64,5.67,5.02,5.81,5.54,5.34,5.88,5.94,5.54,5.49,5.44,5.58,4.97,5.68,5.64
13,544,498,474,499,529,468,483,490,460,527,513,491,498,512,531,512,516,455,6.04,5.53,5.27,5.54,5.88,5.2,5.37,5.44,5.11,5.86,5.7,5.46,5.53,5.69,5.9,5.69,5.73,5.06
14,508,477,472,488,486,510,516,523,507,506,488,521,509,494,539,514,462,480,5.64,5.3,5.24,5.42,5.4,5.67,5.73,5.81,5.63,5.62,5.42,5.79,5.66,5.49,5.99,5.71,5.13,5.33
15,512,481,505,474,537,503,525,504,468,526,503,493,482,492,505,468,492,530,5.69,5.34,5.61,5.27,5.97,5.59,5.83,5.6,5.2,5.84,5.59,5.48,5.36,5.47,5.61,5.2,5.47,5.89
16,512,490,456,504,466,508,505,517,494,513,482,490,508,521,503,532,504,495,5.69,5.44,5.07,5.6,5.18,5.64,5.61,5.74,5.49,5.7,5.36,5.44,5.64,5.79,5.59,5.91,5.6,5.5
17,478,495,484,484,472,523,490,511,520,551,506,518,505,515,504,500,464,480,5.31,5.5,5.38,5.38,5.24,5.81,5.44,5.68,5.78,6.12,5.62,5.76,5.61,5.72,5.6,5.56,5.16,5.33
18,496,505,507,525,504,492,504,489,484,513,517,506,504,531,500,459,487,477,5.51,5.61,5.63,5.83,5.6,5.47,5.6,5.43,5.38,5.7,5.74,5.62,5.6,5.9,5.56,5.1,5.41,5.3
19,517,484,503,480,490,468,550,517,499,485,480,499,536,483,504,507,507,491,5.74,5.38,5.59,5.33,5.44,5.2,6.11,5.74,5.54,5.39,5.33,5.54,5.96,5.37,5.6,5.63,5.63,5.46
20,504,497,499,529,487,532,477,529,481,508,543,459,504,502,482,492,508,467,5.6,5.52,5.54,5.88,5.41,5.91,5.3,5.88,5.34,5.64,6.03,5.1,5.6,5.58,5.36,5.47,5.64,5.19
21,502,491,537,489,509,492,497,485,471,510,518,503,490,509,522,506,494,475,5.58,5.46,5.97,5.43,5.66,5.47,5.52,5.39,5.23,5.67,5.76,5.59,5.44,5.66,5.8,5.62,5.49,5.28
22,497,440,494,517,479,477,518,496,511,517,530,521,475,482,504,525,480,537,5.52,4.89,5.49,5.74,5.32,5.3,5.76,5.51,5.68,5.74,5.89,5.79,5.28,5.36,5.6,5.83,5.33,5.97
23,502,506,486,481,500,515,503,500,513,480,480,481,488,509,551,495,497,513,5.58,5.62,5.4,5.34,5.56,5.72,5.59,5.56,5.7,5.33,5.33,5.34,5.42,5.66,6.12,5.5,5.52,5.7
24,495,512,515,517,478,513,520,504,495,535,547,458,483,492,503,478,476,479,5.5,5.69,5.72,5.74,5.31,5.7,5.78,5.6,5.5,5.94,6.08,5.09,5.37,5.47,5.59,5.31,5.29,5.32
25,499,497,533,545,508,539,512,491,517,497,487,474,468,438,511,512,479,493,5.54,5.52,5.92,6.06,5.64,5.99,5.69,5.46,5.74,5.52,5.41,5.27,5.2,4.87,5.68,5.69,5.32,5.48
26,515,496,489,480,515,506,496,527,516,483,470,471,490,493,512,523,485,533,5.72,5.51,5.43,5.33,5.72,5.62,5.51,5.86,5.73,5.37,5.22,5.23,5.44,5.48,5.69,5.81,5.39,5.92
27,468,493,465,493,524,493,479,492,502,534,496,492,543,481,496,514,510,525,5.2,5.48,5.17,5.48,5.82,5.48,5.32,5.47,5.58,5.93,5.51,5.47,6.03,5.34,5.51,5.71,5.67,5.83
28,491,537,480,504,500,498,494,516,503,517,489,489,485,498,518,510,491,480,5.46,5.97,5.33,5.6,5.56,5.53,5.49,5.73,5.59,5.74,5.43,5.43,5.39,5.53,5.76,5.67,5.46,5.33
29,528,496,501,480,496,504,507,507,529,463,483,506,509,495,501,467,477,551,5.87,5.51,5.57,5.33,5.51,5.6,5.63,5.63,5.88,5.14,5.37,5.62,5.66,5.5,5.57,5.19,5.3,6.12
30,512,533,510,519,484,470,500,504,507,477,490,510,542,485,446,500,489,522,5.69,5.92,5.67,5.77,5.38,5.22,5.56,5.6,5.63,5.3,5.44,5.67,6.02,5.39,4.96,5.56,5.43,5.8
31,496,482,445,480,548,487,542,482,476,543,442,525,522,496,537,463,488,546,5.51,5.36,4.94,5.33,6.09,5.41,6.02,5.36,5.29,6.03,4.91,5.83,5.8,5.51,5.97,5.14,5.42,6.07
32,502,500,506,535,502,487,466,472,491,514,488,491,523,501,512,498,521,491,5.58,5.56,5.62,5.94,5.58,5.41,5.18,5.24,5.46,5.71,5.42,5.46,5.81,5.57,5.69,5.53,5.79,5.46
