Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10
0,506,525,520,531,470,522,509,460,510,495,452,9.2,9.55,9.45,9.65,8.55,9.49,9.25,8.36,9.27,9.0,8.22
1,493,486,499,520,504,497,471,504,526,495,505,8.96,8.84,9.07,9.45,9.16,9.04,8.56,9.16,9.56,9.0,9.18
2,500,502,500,509,497,516,491,501,472,503,509,9.09,9.13,9.09,9.25,9.04,9.38,8.93,9.11,8.58,9.15,9.25
3,516,526,499,473,517,479,518,467,499,511,495,9.38,9.56,9.07,8.6,9.4,8.71,9.42,8.49,9.07,9.29,9.0
4,530,511,502,488,491,502,513,469,493,498,503,9.64,9.29,9.13,8.87,8.93,9.13,9.33,8.53,8.96,9.05,9.15
5,507,537,435,522,490,500,502,503,543,449,512,9.22,9.76,7.91,9.49,8.91,9.09,9.13,9.15,9.87,8.16,9.31
6,491,537,450,492,519,485,507,492,542,489,496,8.93,9.76,8.18,8.95,9.44,8.82,9.22,8.95,9.85,8.89,9.02
7,519,496,511,517,475,490,494,520,472,509,497,9.44,9.02,9.29,9.4,8.64,8.91,8.98,9.45,8.58,9.25,9.04
8,469,499,519,499,516,507,534,493,493,508,463,8.53,9.07,9.44,9.07,9.38,9.22,9.71,8.96,8.96,9.24,8.42
9,498,473,493,490,511,531,526,490,488,508,492,9.05,8.6,8.96,8.91,9.29,9.65,9.56,8.91,8.87,9.24,8.95
10,516,495,521,536,479,475,493,509,491,497,488,9.38,9.0,9.47,9.75,8.71,8.64,8.96,9.25,8.93,9.04,8.87
11,535,508,474,523,482,519,488,492,478,503,498,9.73,9.24,8.62,9.51,8.76,9.44,8.87,8.95,8.69,9.15,9.05
12,467,520,503,520,458,507,483,497,500,514,531,8.49,9.45,9.15,9.45,8.33,9.22,8.78,9.04,9.09,9.35,9.65
13,461,493,505,509,540,516,513,505,464,484,510,8.38,8.96,9.18,9.25,9.82,9.38,9.33,9.18,8.44,8.8,9.27
14,505,512,472,490,483,486,489,498,538,497,530,9.18,9.31,8.58,8.91,8.78,8.84,8.89,9.05,9.78,9.04,9.64
15,500,476,529,492,505,493,448,475,515,558,509,9.09,8.65,9.62,8.95,9.18,8.96,8.15,8.64,9.36,10.15,9.25
16,546,499,474,487,506,466,513,518,474,531,486,9.93,9.07,8.62,8.85,9.2,8.47,9.33,9.42,8.62,9.65,8.84
17,481,543,464,509,531,454,490,486,501,527,514,8.75,9.87,8.44,9.25,9.65,8.25,8.91,8.84,9.11,9.58,9.35
18,520,503,494,500,517,489,503,500,512,487,475,9.45,9.15,8.98,9.09,9.4,8.89,9.15,9.09,9.31,8.85,8.64
19,492,486,506,533,511,518,450,506,466,511,521,8.95,8.84,9.2,9.69,9.29,9.42,8.18,9.2,8.47,9.29,9.47
20,524,502,487,499,536,504,490,481,499,508,470,9.53,9.13,8.85,9.07,9.75,9.16,8.91,8.75,9.07,9.24,8.55
21,517,525,472,502,524,490,477,510,462,492,529,9.4,9.55,8.58,9.13,9.53,8.91,8.67,9.27,8.4,8.95,9.62
22,498,449,517,488,505,492,536,508,498,491,518,9.05,8.16,9.4,8.87,9.18,8.95,9.75,9.24,9.05,8.93,9.42
23,505,488,467,464,499,463,507,560,503,507,537,9.18,8.87,8.49,8.44,9.07,8.42,9.22,10.18,9.15,9.22,9.76
24,496,495,523,515,489,490,480,467,531,495,519,9.02,9.0,9.51,9.36,8.89,8.91,8.73,8.49,9.65,9.0,9.44
25,552,486,552,478,485,481,515,495,476,489,491,10.04,8.84,10.04,8.69,8.82,8.75,9.36,9.0,8.65,8.89,8.93
26,485,504,499,476,509,556,517,510,468,491,485,8.82,9.16,9.07,8.65,9.25,10.11,9.4,9.27,8.51,8.93,8.82
27,443,490,511,491,478,506,517,489,550,513,512,8.05,8.91,9.29,8.93,8.69,9.2,9.4,8.89,10.0,9.33,9.31
28,500,520,455,500,500,499,493,501,511,501,520,9.09,9.45,8.27,9.09,9.09,9.07,8.96,9.11,9.29,9.11,9.45
29,512,511,524,465,502,510,514,480,520,497,465,9.31,9.29,9.53,8.45,9.13,9.27,9.35,8.73,9.45,9.04,8.45
30,517,478,491,507,482,496,511,531,454,530,503,9.4,8.69,8.93,9.22,8.76,9.02,9.29,9.65,8.25,9.64,9.15
31,510,526,535,485,513,493,490,496,474,483,495,9.27,9.56,9.73,8.82,9.33,8.96,8.91,9.02,8.62,8.78,9.0
32,477,515,492,490,482,509,437,529,536,518,515,8.67,9.36,8.95,8.91,8.76,9.25,7.95,9.62,9.75,9.42,9.36
33,503,539,504,431,533,484,506,519,508,511,462,9.15,9.8,9.16,7.84,9.69,8.8,9.2,9.44,9.24,9.29,8.4
34,484,505,510,468,514,527,539,488,511,483,471,8.8,9.18,9.27,8.51,9.35,9.58,9.8,8.87,9.29,8.78,8.56
35,477,495,503,496,477,507,482,519,538,505,501,8.67,9.0,9.15,9.02,8.67,9.22,8.76,9.44,9.78,9.18,9.11
36,525,478,492,476,514,485,533,534,477,470,516,9.55,8.69,8.95,8.65,9.35,8.82,9.69,9.71,8.67,8.55,9.38
