Number,Value
0,7
1,2
2,5
3,3
4,9
5,3
6,1
7,1
8,4
9,6
10,4
11,6
12,3
13,9
14,2
15,9
16,3
17,3
18,11
19,3
20,5
21,8
22,9
23,1
24,9
25,6
26,1
27,6
28,5
29,3
30,3
31,11
32,8
33,5
34,4
35,4
36,10
37,6
38,9
39,1
40,4
41,2
42,3
43,10
44,9
45,6
46,9
47,10
48,1
49,11
50,2
51,2
52,1
53,11
54,3
55,10
56,1
57,7
58,4
59,7
60,9
61,6
62,8
63,6
64,4
65,10
66,10
67,4
68,11
69,3
70,11
71,11
72,7
73,7
74,10
75,4
76,11
77,9
78,11
79,8
80,11
81,7
82,5
83,7
84,8
85,5
86,5
87,9
88,7
89,6
90,9
91,2
92,6
93,4
94,4
95,1
96,1
97,2
98,11
99,5
100,2
101,9
102,11
103,7
104,8
105,11
106,7
107,5
108,11
109,7
110,9
111,6
112,7
113,7
114,5
115,2
116,1
117,3
118,3
119,6
120,1
121,1
122,7
123,4
124,5
125,1
126,5
127,8
128,4
129,10
130,6
131,3
132,1
133,7
134,3
135,9
136,5
137,3
138,4
139,4
140,2
141,6
142,10
143,6
144,5
145,4
146,9
147,4
148,3
149,4
150,7
151,1
152,7
153,4
154,11
155,6
156,7
157,1
158,7
159,3
160,8
161,8
162,7
163,10
164,4
165,9
166,8
167,7
168,1
169,9
170,10
171,1
172,7
173,7
174,6
175,9
176,7
177,2
178,6
179,8
180,5
181,6
182,7
183,1
184,3
185,6
186,11
187,9
188,3
189,6
190,4
191,9
192,7
193,3
194,6
195,11
196,7
197,10
198,5
199,6
200,3
201,6
202,7
203,4
204,8
205,11
206,10
207,8
208,7
209,9
210,3
211,9
212,10
213,9
214,10
215,10
216,3
217,1
218,3
219,7
220,5
221,1
222,2
223,9
224,2
225,7
226,2
227,4
228,2
229,4
230,3
231,7
232,3
233,3
234,6
235,2
236,8
237,3
238,2
239,4
240,2
241,8
242,11
243,5
244,7
245,7
246,6
247,6
248,7
249,5
250,6
251,10
252,3
253,3
254,9
255,5
256,5
257,3
258,7
259,1
260,11
261,10
262,7
263,7
264,10
265,4
266,6
267,11
268,3
269,7
270,3
271,6
272,1
273,11
274,1
275,3
276,10
277,1
278,10
279,11
280,5
281,11
282,3
283,6
284,2
285,5
286,5
287,3
288,11
289,10
290,4
291,11
292,7
293,3
294,11
295,11
296,7
297,7
298,5
299,2
300,5
301,1
302,6
303,7
304,6
305,11
306,10
307,4
308,7
309,4
310,5
311,1
312,4
313,11
314,2
315,5
316,10
317,9
318,8
319,10
320,11
321,1
322,10
323,3
324,5
325,5
326,2
327,4
328,7
329,11
330,5
331,7
332,10
333,1
334,4
335,7
336,9
337,1
338,10
339,7
340,11
341,11
342,10
343,11
344,1
345,2
346,1
347,2
348,9
349,6
350,8
351,7
352,5
353,10
354,2
355,6
356,10
357,7
358,11
359,6
360,9
361,1
362,8
363,9
364,3
365,7
366,5
367,9
368,3
369,10
370,11
371,1
372,1
373,3
374,5
375,11
376,5
377,1
378,8
379,8
380,4
381,7
382,8
383,5
384,4
385,3
386,2
387,5
388,7
389,3
390,3
391,5
392,11
393,5
394,11
395,1
396,9
397,6
398,11
399,8
400,3
401,10
402,9
403,8
404,2
405,2
406,2
407,4
408,2
409,3
410,6
411,1
412,11
413,1
414,9
415,10
416,10
417,1
418,9
419,5
420,1
421,3
422,10
423,11
424,10
425,9
426,9
427,8
428,10
429,10
430,7
431,9
432,6
433,7
434,3
435,10
436,1
437,5
438,3
439,9
440,2
441,3
442,4
443,10
444,8
445,6
446,9
447,4
448,11
449,4
450,3
451,2
452,7
453,11
454,6
455,4
456,3
457,9
458,5
459,8
460,4
461,6
462,4
463,9
464,1
465,11
466,4
467,3
468,3
469,7
470,7
471,7
472,9
473,4
474,9
475,3
476,5
477,6
478,2
479,9
480,5
481,11
482,5
483,3
484,8
485,6
486,11
487,3
488,7
489,1
490,6
491,6
492,2
493,1
494,8
495,2
496,8
497,6
498,6
499,7
500,2
501,8
502,10
503,9
504,9
505,11
506,2
507,2
508,9
509,6
510,11
511,10
512,10
513,3
514,2
515,8
516,3
517,11
518,10
519,8
520,3
521,2
522,5
523,4
524,6
525,6
526,9
527,1
528,1
529,3
530,10
531,10
532,1
533,2
534,3
535,10
536,9
537,3
538,1
539,10
540,4
541,4
542,11
543,9
544,1
545,2
546,10
547,1
548,3
549,9
550,8
551,8
552,6
553,5
554,8
555,2
556,8
557,8
558,10
559,10
560,8
561,2
562,2
563,9
564,5
565,1
566,9
567,8
568,4
569,4
570,3
571,10
572,1
573,1
574,11
575,4
576,5
577,7
578,8
579,3
580,10
581,8
582,1
583,3
584,1
585,5
586,9
587,4
588,11
589,9
590,5
591,5
592,10
593,11
594,4
595,10
596,11
597,5
598,7
599,1
600,7
601,2
602,4
603,2
604,6
605,11
606,10
607,4
608,7
609,10
610,11
611,1
612,6
613,2
614,9
615,3
616,4
617,2
618,3
619,10
620,5
621,4
622,1
623,11
624,5
625,6
626,5
627,9
628,7
629,6
630,1
631,7
632,10
633,10
634,1
635,5
636,7
637,3
638,6
639,4
640,6
641,8
642,2
643,11
644,10
645,2
646,11
647,9
648,1
649,5
650,8
651,1
652,7
653,2
654,8
655,5
656,10
657,10
658,8
659,1
660,10
661,8
662,6
663,4
664,11
665,8
666,6
667,10
668,5
669,2
670,2
671,5
672,2
673,8
674,9
675,5
676,5
677,1
678,3
679,8
680,7
681,3
682,11
683,4
684,5
685,6
686,7
687,5
688,11
689,2
690,7
691,7
692,5
693,9
694,4
695,8
696,4
697,6
698,3
699,5
700,5
701,7
702,9
703,10
704,10
705,2
706,11
707,1
708,2
709,1
710,1
711,7
712,3
713,3
714,4
715,2
716,4
717,8
718,4
719,6
720,9
721,2
722,2
723,3
724,5
725,2
726,5
727,2
728,9
729,7
730,7
731,4
732,10
733,11
734,4
735,5
736,10
737,4
738,4
739,6
740,10
741,6
742,3
743,8
744,9
745,3
746,2
747,7
748,6
749,3
750,2
751,8
752,2
753,9
754,2
755,9
756,11
757,11
758,8
759,11
760,4
761,8
762,4
763,8
764,4
765,9
766,10
767,2
768,9
769,4
770,8
771,6
772,7
773,9
774,6
775,8
776,4
777,9
778,10
779,10
780,7
781,6
782,2
783,11
784,11
785,4
786,11
787,10
788,9
789,6
790,10
791,10
792,9
793,6
794,11
795,8
796,3
797,3
798,7
799,1
800,11
801,8
802,5
803,10
804,1
805,3
806,10
807,8
808,9
809,8
810,3
811,4
812,5
813,1
814,7
815,9
816,1
817,3
818,6
819,11
820,7
821,4
822,6
823,6
824,9
825,7
826,3
827,7
828,1
829,7
830,10
831,11
832,7
833,5
834,10
835,10
836,3
837,1
838,1
839,4
840,9
841,1
842,1
843,10
844,9
845,10
846,2
847,2
848,4
849,6
850,1
851,5
852,7
853,1
854,10
855,3
856,2
857,7
858,11
859,5
860,5
861,5
862,10
863,6
864,8
865,1
866,4
867,4
868,8
869,9
870,1
871,11
872,2
873,5
874,11
875,4
876,2
877,5
878,9
879,10
880,7
881,1
882,8
883,2
884,4
885,4
886,7
887,11
888,5
889,10
890,3
891,10
892,5
893,7
894,6
895,2
896,2
897,6
898,10
899,8
900,1
901,1
902,8
903,3
904,7
905,7
906,5
907,7
908,5
909,4
910,5
911,3
912,4
913,4
914,4
915,7
916,9
917,1
918,6
919,7
920,2
921,2
922,11
923,4
924,7
925,9
926,9
927,7
928,11
929,9
930,10
931,4
932,8
933,5
934,5
935,3
936,3
937,8
938,9
939,11
940,4
941,4
942,6
943,5
944,7
945,11
946,10
947,1
948,7
949,7
950,8
951,6
952,11
953,2
954,8
955,1
956,2
957,7
958,10
959,8
960,10
961,7
962,9
963,11
964,7
965,3
966,4
967,3
968,8
969,11
970,5
971,8
972,10
973,6
974,7
975,10
976,9
977,6
978,7
979,7
980,4
981,1
982,4
983,7
984,5
985,7
986,8
987,5
988,6
989,4
990,6
991,2
992,4
993,2
994,4
995,4
996,2
997,4
998,6
999,11000,10
1001,6
1002,1
1003,3
1004,9
1005,2
1006,3
1007,7
1008,10
1009,1
1010,7
1011,2
1012,2
1013,8
1014,4
1015,6
1016,6
1017,5
1018,10
1019,4
1020,7
1021,10
1022,4
1023,9
1024,10
1025,3
1026,8
1027,6
1028,6
1029,1
1030,5
1031,9
1032,5
1033,7
1034,6
1035,5
1036,3
1037,5
