Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Times 18,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17,Percent 18
0,524,502,476,522,535,490,502,476,502,520,461,491,510,498,507,488,519,496,481,5.52,5.28,5.01,5.49,5.63,5.16,5.28,5.01,5.28,5.47,4.85,5.17,5.37,5.24,5.34,5.14,5.46,5.22,5.06
1,489,482,514,454,514,493,560,466,478,527,501,484,512,488,511,489,507,500,531,5.15,5.07,5.41,4.78,5.41,5.19,5.89,4.91,5.03,5.55,5.27,5.09,5.39,5.14,5.38,5.15,5.34,5.26,5.59
2,469,521,504,487,536,514,522,492,466,471,490,493,496,531,507,477,487,521,516,4.94,5.48,5.31,5.13,5.64,5.41,5.49,5.18,4.91,4.96,5.16,5.19,5.22,5.59,5.34,5.02,5.13,5.48,5.43
3,476,479,498,522,484,497,515,529,543,520,510,505,502,519,514,434,476,473,504,5.01,5.04,5.24,5.49,5.09,5.23,5.42,5.57,5.72,5.47,5.37,5.32,5.28,5.46,5.41,4.57,5.01,4.98,5.31
4,456,519,490,520,487,530,514,552,505,482,485,470,507,475,498,492,521,513,484,4.8,5.46,5.16,5.47,5.13,5.58,5.41,5.81,5.32,5.07,5.11,4.95,5.34,5.0,5.24,5.18,5.48,5.4,5.09
5,486,466,549,519,451,474,500,542,507,505,486,474,516,506,509,510,476,480,544,5.12,4.91,5.78,5.46,4.75,4.99,5.26,5.71,5.34,5.32,5.12,4.99,5.43,5.33,5.36,5.37,5.01,5.05,5.73
6,467,505,480,517,518,535,489,480,504,491,502,470,464,492,529,527,503,488,539,4.92,5.32,5.05,5.44,5.45,5.63,5.15,5.05,5.31,5.17,5.28,4.95,4.88,5.18,5.57,5.55,5.29,5.14,5.67
7,449,519,507,520,536,468,561,494,465,495,519,499,476,494,492,503,520,511,472,4.73,5.46,5.34,5.47,5.64,4.93,5.91,5.2,4.89,5.21,5.46,5.25,5.01,5.2,5.18,5.29,5.47,5.38,4.97
8,473,517,513,492,493,484,521,516,522,493,499,497,500,483,484,519,492,508,494,4.98,5.44,5.4,5.18,5.19,5.09,5.48,5.43,5.49,5.19,5.25,5.23,5.26,5.08,5.09,5.46,5.18,5.35,5.2
9,524,500,491,504,500,496,499,507,516,501,471,480,497,478,516,506,500,482,532,5.52,5.26,5.17,5.31,5.26,5.22,5.25,5.34,5.43,5.27,4.96,5.05,5.23,5.03,5.43,5.33,5.26,5.07,5.6
10,513,475,505,500,509,541,479,463,496,529,527,494,486,469,482,507,492,508,525,5.4,5.0,5.32,5.26,5.36,5.69,5.04,4.87,5.22,5.57,5.55,5.2,5.12,4.94,5.07,5.34,5.18,5.35,5.53
