Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12
0,479,488,536,527,502,502,497,485,493,538,481,493,479,7.37,7.51,8.25,8.11,7.72,7.72,7.65,7.46,7.58,8.28,7.4,7.58,7.37
1,473,484,481,495,551,504,524,486,519,534,451,510,488,7.28,7.45,7.4,7.62,8.48,7.75,8.06,7.48,7.98,8.22,6.94,7.85,7.51
2,512,500,527,534,463,470,511,480,516,478,503,496,510,7.88,7.69,8.11,8.22,7.12,7.23,7.86,7.38,7.94,7.35,7.74,7.63,7.85
3,468,469,518,537,524,484,516,496,516,483,496,473,520,7.2,7.22,7.97,8.26,8.06,7.45,7.94,7.63,7.94,7.43,7.63,7.28,8.0
4,546,491,510,462,487,495,516,535,489,494,517,472,486,8.4,7.55,7.85,7.11,7.49,7.62,7.94,8.23,7.52,7.6,7.95,7.26,7.48
5,518,470,496,535,500,517,516,495,488,490,467,504,504,7.97,7.23,7.63,8.23,7.69,7.95,7.94,7.62,7.51,7.54,7.18,7.75,7.75
6,482,489,494,495,543,489,467,507,502,519,505,491,517,7.42,7.52,7.6,7.62,8.35,7.52,7.18,7.8,7.72,7.98,7.77,7.55,7.95
7,489,491,504,519,493,499,490,493,473,536,518,525,470,7.52,7.55,7.75,7.98,7.58,7.68,7.54,7.58,7.28,8.25,7.97,8.08,7.23
8,509,490,466,523,533,471,511,494,462,538,498,507,498,7.83,7.54,7.17,8.05,8.2,7.25,7.86,7.6,7.11,8.28,7.66,7.8,7.66
9,499,547,476,475,524,479,507,492,535,474,506,480,506,7.68,8.42,7.32,7.31,8.06,7.37,7.8,7.57,8.23,7.29,7.78,7.38,7.78
10,485,549,466,489,488,489,535,494,512,473,535,524,461,7.46,8.45,7.17,7.52,7.51,7.52,8.23,7.6,7.88,7.28,8.23,8.06,7.09
11,513,504,480,491,477,477,538,489,540,496,459,510,526,7.89,7.75,7.38,7.55,7.34,7.34,8.28,7.52,8.31,7.63,7.06,7.85,8.09
12,513,561,472,498,493,500,515,507,468,468,489,506,510,7.89,8.63,7.26,7.66,7.58,7.69,7.92,7.8,7.2,7.2,7.52,7.78,7.85
13,508,534,511,528,493,484,483,509,464,489,524,493,480,7.82,8.22,7.86,8.12,7.58,7.45,7.43,7.83,7.14,7.52,8.06,7.58,7.38
14,462,483,522,498,518,490,515,484,508,513,513,526,468,7.11,7.43,8.03,7.66,7.97,7.54,7.92,7.45,7.82,7.89,7.89,8.09,7.2
15,541,499,484,501,530,522,463,483,523,467,506,492,489,8.32,7.68,7.45,7.71,8.15,8.03,7.12,7.43,8.05,7.18,7.78,7.57,7.52
16,507,456,499,534,493,484,549,482,519,503,456,514,504,7.8,7.02,7.68,8.22,7.58,7.45,8.45,7.42,7.98,7.74,7.02,7.91,7.75
17,463,542,503,498,506,494,476,527,467,508,489,491,536,7.12,8.34,7.74,7.66,7.78,7.6,7.32,8.11,7.18,7.82,7.52,7.55,8.25
18,510,465,499,491,482,528,475,490,495,511,514,510,530,7.85,7.15,7.68,7.55,7.42,8.12,7.31,7.54,7.62,7.86,7.91,7.85,8.15
19,495,497,491,482,469,514,516,484,513,490,525,494,530,7.62,7.65,7.55,7.42,7.22,7.91,7.94,7.45,7.89,7.54,8.08,7.6,8.15
20,504,543,503,460,494,491,487,470,510,512,501,527,498,7.75,8.35,7.74,7.08,7.6,7.55,7.49,7.23,7.85,7.88,7.71,8.11,7.66
