Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4
0,510,474,505,511,500,20.4,18.96,20.2,20.44,20.0
1,479,470,499,542,510,19.16,18.8,19.96,21.68,20.4
2,484,501,498,517,500,19.36,20.04,19.92,20.68,20.0
3,519,502,483,469,527,20.76,20.08,19.32,18.76,21.08
4,500,511,492,483,514,20.0,20.44,19.68,19.32,20.56
5,472,482,503,505,538,18.88,19.28,20.12,20.2,21.52
6,500,514,498,493,495,20.0,20.56,19.92,19.72,19.8
7,503,497,528,475,497,20.12,19.88,21.12,19.0,19.88
8,474,518,532,491,485,18.96,20.72,21.28,19.64,19.4
9,484,516,506,499,495,19.36,20.64,20.24,19.96,19.8
10,495,504,514,495,492,19.8,20.16,20.56,19.8,19.68
11,478,557,480,495,490,19.12,22.28,19.2,19.8,19.6
12,479,496,532,489,504,19.16,19.84,21.28,19.56,20.16
13,495,526,502,501,476,19.8,21.04,20.08,20.04,19.04
14,471,480,531,508,510,18.84,19.2,21.24,20.32,20.4
15,478,501,524,495,502,19.12,20.04,20.96,19.8,20.08
16,514,453,507,502,524,20.56,18.12,20.28,20.08,20.96
17,480,518,494,498,510,19.2,20.72,19.76,19.92,20.4
18,469,501,526,481,523,18.76,20.04,21.04,19.24,20.92
19,512,471,479,535,503,20.48,18.84,19.16,21.4,20.12
20,511,517,507,483,482,20.44,20.68,20.28,19.32,19.28
21,529,478,496,515,482,21.16,19.12,19.84,20.6,19.28
22,495,468,518,514,505,19.8,18.72,20.72,20.56,20.2
23,498,510,517,493,482,19.92,20.4,20.68,19.72,19.28
24,518,451,496,526,509,20.72,18.04,19.84,21.04,20.36
25,533,489,476,495,507,21.32,19.56,19.04,19.8,20.28
26,457,493,494,520,536,18.28,19.72,19.76,20.8,21.44
27,511,493,513,482,501,20.44,19.72,20.52,19.28,20.04
28,484,522,493,516,485,19.36,20.88,19.72,20.64,19.4
29,476,509,518,502,495,19.04,20.36,20.72,20.08,19.8
30,485,494,513,504,504,19.4,19.76,20.52,20.16,20.16
31,506,509,490,491,504,20.24,20.36,19.6,19.64,20.16
32,490,465,522,519,504,19.6,18.6,20.88,20.76,20.16
33,509,468,494,534,495,20.36,18.72,19.76,21.36,19.8
34,483,491,535,491,500,19.32,19.64,21.4,19.64,20.0
35,527,470,453,542,508,21.08,18.8,18.12,21.68,20.32
36,531,518,477,486,488,21.24,20.72,19.08,19.44,19.52
37,527,531,471,505,466,21.08,21.24,18.84,20.2,18.64
38,505,462,493,542,498,20.2,18.48,19.72,21.68,19.92
39,508,470,502,515,505,20.32,18.8,20.08,20.6,20.2
40,474,507,511,487,521,18.96,20.28,20.44,19.48,20.84
41,469,544,505,477,505,18.76,21.76,20.2,19.08,20.2
42,480,522,504,517,477,19.2,20.88,20.16,20.68,19.08
43,471,514,518,491,506,18.84,20.56,20.72,19.64,20.24
44,527,534,514,467,458,21.08,21.36,20.56,18.68,18.32
45,493,499,461,524,523,19.72,19.96,18.44,20.96,20.92
46,452,517,512,483,536,18.08,20.68,20.48,19.32,21.44
47,493,512,487,505,503,19.72,20.48,19.48,20.2,20.12
48,515,518,471,479,517,20.6,20.72,18.84,19.16,20.68
49,476,505,520,499,500,19.04,20.2,20.8,19.96,20.0
50,535,489,505,513,458,21.4,19.56,20.2,20.52,18.32
51,486,482,514,507,511,19.44,19.28,20.56,20.28,20.44
52,550,485,483,482,500,22.0,19.4,19.32,19.28,20.0
53,516,472,499,501,512,20.64,18.88,19.96,20.04,20.48
54,468,507,488,502,535,18.72,20.28,19.52,20.08,21.4
55,505,511,486,464,534,20.2,20.44,19.44,18.56,21.36
56,497,503,533,500,467,19.88,20.12,21.32,20.0,18.68
57,509,462,544,512,473,20.36,18.48,21.76,20.48,18.92
58,525,506,463,504,502,21.0,20.24,18.52,20.16,20.08
59,525,483,485,484,523,21.0,19.32,19.4,19.36,20.92
60,498,468,502,541,491,19.92,18.72,20.08,21.64,19.64
61,513,483,510,480,514,20.52,19.32,20.4,19.2,20.56
62,489,537,482,493,499,19.56,21.48,19.28,19.72,19.96
63,525,512,503,479,481,21.0,20.48,20.12,19.16,19.24
64,496,479,508,514,503,19.84,19.16,20.32,20.56,20.12
65,517,471,528,484,500,20.68,18.84,21.12,19.36,20.0
66,541,478,505,506,470,21.64,19.12,20.2,20.24,18.8
67,513,485,490,494,518,20.52,19.4,19.6,19.76,20.72
68,529,494,504,497,476,21.16,19.76,20.16,19.88,19.04
69,497,495,538,466,504,19.88,19.8,21.52,18.64,20.16
70,532,476,458,508,526,21.28,19.04,18.32,20.32,21.04
71,496,480,519,522,483,19.84,19.2,20.76,20.88,19.32
72,467,500,534,510,489,18.68,20.0,21.36,20.4,19.56
73,494,509,486,527,484,19.76,20.36,19.44,21.08,19.36
74,492,499,500,492,517,19.68,19.96,20.0,19.68,20.68
75,525,519,479,494,483,21.0,20.76,19.16,19.76,19.32
76,506,518,534,475,467,20.24,20.72,21.36,19.0,18.68
77,504,508,490,514,484,20.16,20.32,19.6,20.56,19.36
78,469,498,507,500,526,18.76,19.92,20.28,20.0,21.04
79,515,497,510,506,472,20.6,19.88,20.4,20.24,18.88
80,504,503,490,525,478,20.16,20.12,19.6,21.0,19.12
81,481,524,487,502,506,19.24,20.96,19.48,20.08,20.24
82,525,479,477,519,500,21.0,19.16,19.08,20.76,20.0
83,503,537,523,479,458,20.12,21.48,20.92,19.16,18.32
84,474,514,472,533,507,18.96,20.56,18.88,21.32,20.28
85,452,490,544,491,523,18.08,19.6,21.76,19.64,20.92
86,530,522,504,459,485,21.2,20.88,20.16,18.36,19.4
87,510,476,516,529,469,20.4,19.04,20.64,21.16,18.76
88,510,537,449,509,495,20.4,21.48,17.96,20.36,19.8
89,463,469,492,528,548,18.52,18.76,19.68,21.12,21.92
90,496,506,520,498,480,19.84,20.24,20.8,19.92,19.2
91,546,478,488,481,507,21.84,19.12,19.52,19.24,20.28
92,484,513,490,523,490,19.36,20.52,19.6,20.92,19.6
93,506,463,508,494,529,20.24,18.52,20.32,19.76,21.16
94,456,501,499,493,551,18.24,20.04,19.96,19.72,22.04
95,481,524,500,508,487,19.24,20.96,20.0,20.32,19.48
96,503,521,484,507,485,20.12,20.84,19.36,20.28,19.4
97,487,492,482,494,545,19.48,19.68,19.28,19.76,21.8
98,508,488,483,489,532,20.32,19.52,19.32,19.56,21.28
99,471,492,505,493,539,18.84,19.68,20.2,19.72,21.56
100,509,519,485,501,486,20.36,20.76,19.4,20.04,19.44
101,480,518,494,498,510,19.2,20.72,19.76,19.92,20.4
102,539,471,509,474,507,21.56,18.84,20.36,18.96,20.28
103,508,472,482,510,528,20.32,18.88,19.28,20.4,21.12
104,470,533,480,492,525,18.8,21.32,19.2,19.68,21.0
105,531,536,472,481,480,21.24,21.44,18.88,19.24,19.2
106,481,489,496,502,532,19.24,19.56,19.84,20.08,21.28
107,462,495,520,494,529,18.48,19.8,20.8,19.76,21.16
108,506,479,502,494,519,20.24,19.16,20.08,19.76,20.76
109,504,484,473,509,530,20.16,19.36,18.92,20.36,21.2
110,514,507,518,445,516,20.56,20.28,20.72,17.8,20.64
111,521,513,486,497,483,20.84,20.52,19.44,19.88,19.32
112,483,471,526,516,504,19.32,18.84,21.04,20.64,20.16
113,480,472,543,490,515,19.2,18.88,21.72,19.6,20.6
114,499,495,495,520,491,19.96,19.8,19.8,20.8,19.64
115,477,494,486,485,558,19.08,19.76,19.44,19.4,22.32
116,491,528,448,537,496,19.64,21.12,17.92,21.48,19.84
117,477,499,511,478,535,19.08,19.96,20.44,19.12,21.4
118,524,511,507,478,480,20.96,20.44,20.28,19.12,19.2
119,529,483,504,488,496,21.16,19.32,20.16,19.52,19.84
120,506,497,495,487,515,20.24,19.88,19.8,19.48,20.6
121,495,477,521,528,479,19.8,19.08,20.84,21.12,19.16
122,491,516,490,487,516,19.64,20.64,19.6,19.48,20.64
123,506,517,516,475,486,20.24,20.68,20.64,19.0,19.44
124,516,480,511,492,501,20.64,19.2,20.44,19.68,20.04
125,502,491,519,485,503,20.08,19.64,20.76,19.4,20.12
126,480,520,510,480,510,19.2,20.8,20.4,19.2,20.4
127,515,466,509,488,522,20.6,18.64,20.36,19.52,20.88
128,474,515,510,477,524,18.96,20.6,20.4,19.08,20.96
129,507,510,508,468,507,20.28,20.4,20.32,18.72,20.28
130,521,474,481,538,486,20.84,18.96,19.24,21.52,19.44
131,468,514,524,526,468,18.72,20.56,20.96,21.04,18.72
132,489,512,498,510,491,19.56,20.48,19.92,20.4,19.64
133,487,505,505,501,502,19.48,20.2,20.2,20.04,20.08
134,493,540,501,474,492,19.72,21.6,20.04,18.96,19.68
135,506,483,520,504,487,20.24,19.32,20.8,20.16,19.48
136,508,505,499,491,497,20.32,20.2,19.96,19.64,19.88
137,519,486,523,487,485,20.76,19.44,20.92,19.48,19.4
138,524,505,482,499,490,20.96,20.2,19.28,19.96,19.6
139,508,523,463,526,480,20.32,20.92,18.52,21.04,19.2
140,529,484,507,492,488,21.16,19.36,20.28,19.68,19.52
141,517,484,504,511,484,20.68,19.36,20.16,20.44,19.36
142,527,501,484,466,522,21.08,20.04,19.36,18.64,20.88
143,503,509,483,504,501,20.12,20.36,19.32,20.16,20.04
144,530,476,502,496,496,21.2,19.04,20.08,19.84,19.84
145,471,504,534,491,500,18.84,20.16,21.36,19.64,20.0
146,519,536,500,453,492,20.76,21.44,20.0,18.12,19.68
147,497,501,490,519,493,19.88,20.04,19.6,20.76,19.72
148,520,482,464,513,521,20.8,19.28,18.56,20.52,20.84
149,489,526,482,487,516,19.56,21.04,19.28,19.48,20.64
150,498,509,509,474,510,19.92,20.36,20.36,18.96,20.4
151,481,518,514,469,518,19.24,20.72,20.56,18.76,20.72
152,515,489,512,484,500,20.6,19.56,20.48,19.36,20.0
153,459,511,533,499,498,18.36,20.44,21.32,19.96,19.92
154,519,514,513,466,488,20.76,20.56,20.52,18.64,19.52
155,513,470,476,538,503,20.52,18.8,19.04,21.52,20.12
156,526,502,434,547,491,21.04,20.08,17.36,21.88,19.64
157,491,521,512,470,506,19.64,20.84,20.48,18.8,20.24
158,503,520,479,533,465,20.12,20.8,19.16,21.32,18.6
159,478,528,502,504,488,19.12,21.12,20.08,20.16,19.52
160,515,495,523,487,480,20.6,19.8,20.92,19.48,19.2
161,484,518,514,504,480,19.36,20.72,20.56,20.16,19.2
162,509,494,479,506,512,20.36,19.76,19.16,20.24,20.48
163,520,464,494,503,519,20.8,18.56,19.76,20.12,20.76
164,502,483,507,515,493,20.08,19.32,20.28,20.6,19.72
165,498,497,496,507,502,19.92,19.88,19.84,20.28,20.08
166,514,486,514,517,469,20.56,19.44,20.56,20.68,18.76
167,486,524,488,485,517,19.44,20.96,19.52,19.4,20.68
168,491,495,499,513,502,19.64,19.8,19.96,20.52,20.08
169,478,523,485,510,504,19.12,20.92,19.4,20.4,20.16
170,483,495,506,493,523,19.32,19.8,20.24,19.72,20.92
171,467,520,499,514,500,18.68,20.8,19.96,20.56,20.0
172,515,487,495,518,485,20.6,19.48,19.8,20.72,19.4
173,514,458,507,479,542,20.56,18.32,20.28,19.16,21.68
174,472,511,510,523,484,18.88,20.44,20.4,20.92,19.36
175,495,499,490,504,512,19.8,19.96,19.6,20.16,20.48
176,478,516,521,480,505,19.12,20.64,20.84,19.2,20.2
177,524,464,496,508,508,20.96,18.56,19.84,20.32,20.32
178,526,525,500,490,459,21.04,21.0,20.0,19.6,18.36
179,497,527,489,472,515,19.88,21.08,19.56,18.88,20.6
180,483,469,512,509,527,19.32,18.76,20.48,20.36,21.08
181,457,523,532,517,471,18.28,20.92,21.28,20.68,18.84
182,489,485,529,520,477,19.56,19.4,21.16,20.8,19.08
183,508,481,487,498,526,20.32,19.24,19.48,19.92,21.04
184,521,458,512,530,479,20.84,18.32,20.48,21.2,19.16
185,491,513,523,478,495,19.64,20.52,20.92,19.12,19.8
186,503,468,565,520,444,20.12,18.72,22.6,20.8,17.76
187,507,534,479,494,486,20.28,21.36,19.16,19.76,19.44
188,522,492,473,501,512,20.88,19.68,18.92,20.04,20.48
189,472,486,491,518,533,18.88,19.44,19.64,20.72,21.32
190,511,463,539,484,503,20.44,18.52,21.56,19.36,20.12
191,498,503,519,500,480,19.92,20.12,20.76,20.0,19.2
192,521,483,481,503,512,20.84,19.32,19.24,20.12,20.48
193,474,515,514,488,509,18.96,20.6,20.56,19.52,20.36
194,506,513,478,510,493,20.24,20.52,19.12,20.4,19.72
195,529,495,506,473,497,21.16,19.8,20.24,18.92,19.88
196,538,505,484,486,487,21.52,20.2,19.36,19.44,19.48
197,523,508,495,467,507,20.92,20.32,19.8,18.68,20.28
198,522,506,512,475,485,20.88,20.24,20.48,19.0,19.4
199,481,531,504,490,494,19.24,21.24,20.16,19.6,19.76
200,494,511,486,538,471,19.76,20.44,19.44,21.52,18.84
201,501,494,518,494,493,20.04,19.76,20.72,19.76,19.72
202,509,509,475,501,506,20.36,20.36,19.0,20.04,20.24
203,519,496,474,487,524,20.76,19.84,18.96,19.48,20.96
204,518,506,487,506,483,20.72,20.24,19.48,20.24,19.32
206,497,517,503,499,484,19.88,20.68,20.12,19.96,19.36
207,522,489,518,494,477,20.88,19.56,20.72,19.76,19.08
208,502,492,493,507,506,20.08,19.68,19.72,20.28,20.24
