Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16
0,504,531,495,494,491,431,529,526,471,488,529,511,501,491,514,525,469,5.93,6.25,5.82,5.81,5.78,5.07,6.22,6.19,5.54,5.74,6.22,6.01,5.89,5.78,6.05,6.18,5.52
1,509,513,489,522,521,509,486,502,480,483,500,511,511,500,478,511,475,5.99,6.04,5.75,6.14,6.13,5.99,5.72,5.91,5.65,5.68,5.88,6.01,6.01,5.88,5.62,6.01,5.59
2,528,484,485,491,480,514,488,506,474,512,504,485,478,524,504,518,525,6.21,5.69,5.71,5.78,5.65,6.05,5.74,5.95,5.58,6.02,5.93,5.71,5.62,6.16,5.93,6.09,6.18
3,531,505,517,471,547,507,491,480,498,512,519,516,473,495,477,499,462,6.25,5.94,6.08,5.54,6.44,5.96,5.78,5.65,5.86,6.02,6.11,6.07,5.56,5.82,5.61,5.87,5.44
4,496,469,494,516,492,489,480,520,482,508,514,531,525,511,489,473,511,5.84,5.52,5.81,6.07,5.79,5.75,5.65,6.12,5.67,5.98,6.05,6.25,6.18,6.01,5.75,5.56,6.01
5,508,521,497,531,488,478,563,489,533,495,520,473,461,515,458,510,460,5.98,6.13,5.85,6.25,5.74,5.62,6.62,5.75,6.27,5.82,6.12,5.56,5.42,6.06,5.39,6.0,5.41
6,476,464,526,513,513,525,483,507,450,545,489,517,489,467,533,489,514,5.6,5.46,6.19,6.04,6.04,6.18,5.68,5.96,5.29,6.41,5.75,6.08,5.75,5.49,6.27,5.75,6.05
7,498,482,520,453,499,485,491,508,526,482,515,507,502,509,543,485,495,5.86,5.67,6.12,5.33,5.87,5.71,5.78,5.98,6.19,5.67,6.06,5.96,5.91,5.99,6.39,5.71,5.82
8,523,506,507,495,493,478,505,458,505,526,478,499,492,507,536,518,474,6.15,5.95,5.96,5.82,5.8,5.62,5.94,5.39,5.94,6.19,5.62,5.87,5.79,5.96,6.31,6.09,5.58
9,521,499,492,497,506,491,466,546,494,518,491,498,472,522,506,517,464,6.13,5.87,5.79,5.85,5.95,5.78,5.48,6.42,5.81,6.09,5.78,5.86,5.55,6.14,5.95,6.08,5.46
10,499,481,514,491,480,475,479,510,526,508,472,473,521,509,542,537,483,5.87,5.66,6.05,5.78,5.65,5.59,5.64,6.0,6.19,5.98,5.55,5.56,6.13,5.99,6.38,6.32,5.68
11,523,497,486,524,521,503,498,436,535,506,492,471,497,502,515,483,511,6.15,5.85,5.72,6.16,6.13,5.92,5.86,5.13,6.29,5.95,5.79,5.54,5.85,5.91,6.06,5.68,6.01
12,486,491,500,519,525,519,511,506,478,518,485,503,502,511,477,509,460,5.72,5.78,5.88,6.11,6.18,6.11,6.01,5.95,5.62,6.09,5.71,5.92,5.91,6.01,5.61,5.99,5.41
13,498,454,474,492,540,525,534,485,509,531,500,451,471,519,484,547,486,5.86,5.34,5.58,5.79,6.35,6.18,6.28,5.71,5.99,6.25,5.88,5.31,5.54,6.11,5.69,6.44,5.72
14,489,489,501,510,486,543,491,498,541,478,501,491,493,493,476,512,508,5.75,5.75,5.89,6.0,5.72,6.39,5.78,5.86,6.36,5.62,5.89,5.78,5.8,5.8,5.6,6.02,5.98
15,499,497,467,527,445,506,479,518,494,486,500,505,536,541,472,515,513,5.87,5.85,5.49,6.2,5.24,5.95,5.64,6.09,5.81,5.72,5.88,5.94,6.31,6.36,5.55,6.06,6.04
16,503,474,484,487,536,504,494,493,476,501,522,496,532,515,489,471,523,5.92,5.58,5.69,5.73,6.31,5.93,5.81,5.8,5.6,5.89,6.14,5.84,6.26,6.06,5.75,5.54,6.15
17,485,504,519,497,506,460,527,523,500,507,520,475,524,484,518,467,484,5.71,5.93,6.11,5.85,5.95,5.41,6.2,6.15,5.88,5.96,6.12,5.59,6.16,5.69,6.09,5.49,5.69
18,481,509,505,474,522,493,532,454,504,486,477,469,534,528,500,533,499,5.66,5.99,5.94,5.58,6.14,5.8,6.26,5.34,5.93,5.72,5.61,5.52,6.28,6.21,5.88,6.27,5.87
19,479,472,515,476,508,523,491,530,454,512,541,470,512,486,499,514,518,5.64,5.55,6.06,5.6,5.98,6.15,5.78,6.24,5.34,6.02,6.36,5.53,6.02,5.72,5.87,6.05,6.09
