Number,Value
0,1
1,14
2,14
3,13
4,3
5,5
6,7
7,9
8,13
9,1
10,16
11,7
12,1
13,5
14,13
15,4
16,16
17,7
18,10
19,5
20,5
21,10
22,4
23,16
24,2
25,4
26,14
27,7
28,2
29,4
30,7
31,3
32,5
33,14
34,2
35,14
36,9
37,2
38,8
39,3
40,14
41,9
42,5
43,8
44,5
45,15
46,5
47,6
48,8
49,7
50,7
51,14
52,1
53,12
54,8
55,3
56,13
57,14
58,12
59,3
60,4
61,11
62,16
63,10
64,6
65,9
66,14
67,12
68,12
69,13
70,10
71,13
72,16
73,7
74,11
75,6
76,3
77,9
78,11
79,7
80,2
81,7
82,11
83,2
84,3
85,13
86,16
87,5
88,5
89,12
90,14
91,10
92,3
93,16
94,16
95,4
96,2
97,16
98,9
99,10
100,4
101,4
102,1
103,8
104,6
105,16
106,5
107,12
108,5
109,9
110,8
111,13
112,7
113,16
114,12
115,4
116,6
117,13
118,5
119,4
120,14
121,6
122,2
123,14
124,11
125,6
126,15
127,9
128,13
129,5
130,13
131,13
132,10
133,7
134,9
135,2
136,5
137,13
138,4
139,10
140,1
141,8
142,9
143,13
144,1
145,3
146,13
147,3
148,6
149,8
150,9
151,4
152,15
153,1
154,6
155,2
156,11
157,16
158,2
159,11
160,8
161,12
162,5
163,5
164,9
165,8
166,15
167,4
168,4
169,1
170,11
171,11
172,3
173,1
174,10
175,13
176,6
177,12
178,13
179,14
180,6
181,7
182,7
183,6
184,8
185,5
186,11
187,8
188,5
189,1
190,6
191,12
192,3
193,9
194,2
195,13
196,8
197,3
198,6
199,11
200,16
201,9
202,12
203,16
204,15
205,12
206,8
207,11
208,16
209,15
210,11
211,12
212,12
213,16
214,1
215,2
216,11
217,8
218,10
219,9
220,4
221,4
222,14
223,1
224,1
225,8
226,16
227,14
228,9
229,7
230,5
231,15
232,2
233,2
234,13
235,3
236,5
237,12
238,7
239,5
240,13
241,16
242,14
243,10
244,2
245,11
246,1
247,8
248,5
249,10
250,3
251,14
252,2
253,3
254,9
255,3
256,6
257,13
258,11
259,10
260,14
261,3
262,2
263,15
264,11
265,10
266,7
267,9
268,5
269,6
270,6
271,5
272,8
273,5
274,13
275,12
276,11
277,5
278,15
279,2
280,12
281,13
282,2
283,11
284,4
285,6
286,8
287,12
288,1
289,7
290,3
291,11
292,12
293,9
294,5
295,16
296,13
297,2
298,15
299,2
300,10
301,12
302,13
303,5
304,1
305,6
306,13
307,3
308,16
309,7
310,9
311,9
312,15
313,13
314,10
315,16
316,12
317,14
318,12
319,9
320,16
321,3
322,15
323,5
324,10
325,3
326,8
327,11
328,12
329,12
330,4
331,10
332,12
333,13
334,8
335,3
