Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15
0,520,484,483,516,541,502,507,500,501,525,486,506,476,512,473,468,6.5,6.05,6.04,6.45,6.76,6.28,6.34,6.25,6.26,6.56,6.08,6.33,5.95,6.4,5.91,5.85
1,496,444,535,506,479,466,510,520,533,493,497,502,533,504,491,491,6.2,5.55,6.69,6.33,5.99,5.83,6.38,6.5,6.66,6.16,6.21,6.28,6.66,6.3,6.14,6.14
2,516,502,526,469,484,514,506,498,504,494,509,475,512,503,525,463,6.45,6.28,6.58,5.86,6.05,6.42,6.33,6.22,6.3,6.17,6.36,5.94,6.4,6.29,6.56,5.79
3,499,487,494,493,490,494,492,542,507,512,534,467,502,518,521,448,6.24,6.09,6.17,6.16,6.12,6.17,6.15,6.78,6.34,6.4,6.68,5.84,6.28,6.48,6.51,5.6
4,487,467,502,543,503,522,491,511,493,506,517,493,464,521,494,486,6.09,5.84,6.28,6.79,6.29,6.53,6.14,6.39,6.16,6.33,6.46,6.16,5.8,6.51,6.17,6.08
5,526,463,499,539,523,504,479,478,505,490,461,500,487,500,500,546,6.58,5.79,6.24,6.74,6.54,6.3,5.99,5.97,6.31,6.12,5.76,6.25,6.09,6.25,6.25,6.83
6,479,506,525,479,509,502,519,526,480,494,497,497,496,518,477,496,5.99,6.33,6.56,5.99,6.36,6.28,6.49,6.58,6.0,6.17,6.21,6.21,6.2,6.48,5.96,6.2
7,454,501,500,483,457,488,498,521,540,506,511,529,507,506,479,520,5.67,6.26,6.25,6.04,5.71,6.1,6.22,6.51,6.75,6.33,6.39,6.61,6.34,6.33,5.99,6.5
8,476,497,520,508,481,505,515,490,489,480,507,532,525,487,519,469,5.95,6.21,6.5,6.35,6.01,6.31,6.44,6.12,6.11,6.0,6.34,6.65,6.56,6.09,6.49,5.86
9,491,490,505,485,515,537,481,473,489,500,479,491,574,485,529,476,6.14,6.12,6.31,6.06,6.44,6.71,6.01,5.91,6.11,6.25,5.99,6.14,7.17,6.06,6.61,5.95
10,528,496,469,511,475,495,494,510,513,499,482,456,527,517,534,494,6.6,6.2,5.86,6.39,5.94,6.19,6.17,6.38,6.41,6.24,6.02,5.7,6.59,6.46,6.68,6.17
11,476,509,514,501,498,523,519,530,526,491,484,470,496,470,489,504,5.95,6.36,6.42,6.26,6.22,6.54,6.49,6.62,6.58,6.14,6.05,5.88,6.2,5.88,6.11,6.3
12,513,523,533,470,502,489,517,523,482,485,511,472,472,512,506,490,6.41,6.54,6.66,5.88,6.28,6.11,6.46,6.54,6.02,6.06,6.39,5.9,5.9,6.4,6.33,6.12
13,506,502,480,513,470,498,512,483,504,511,533,526,509,491,480,482,6.33,6.28,6.0,6.41,5.88,6.22,6.4,6.04,6.3,6.39,6.66,6.58,6.36,6.14,6.0,6.02
14,466,448,495,517,463,514,499,554,505,493,506,529,493,509,526,483,5.83,5.6,6.19,6.46,5.79,6.42,6.24,6.93,6.31,6.16,6.33,6.61,6.16,6.36,6.58,6.04
15,492,497,530,513,503,520,469,487,503,482,496,508,526,523,465,486,6.15,6.21,6.62,6.41,6.29,6.5,5.86,6.09,6.29,6.02,6.2,6.35,6.58,6.54,5.81,6.08
16,508,497,491,515,495,474,487,529,470,521,492,553,441,468,546,513,6.35,6.21,6.14,6.44,6.19,5.92,6.09,6.61,5.88,6.51,6.15,6.91,5.51,5.85,6.83,6.41
17,546,489,493,516,512,486,490,489,509,515,489,493,528,482,458,505,6.83,6.11,6.16,6.45,6.4,6.08,6.12,6.11,6.36,6.44,6.11,6.16,6.6,6.02,5.73,6.31
18,492,512,504,510,530,481,491,490,514,489,496,521,475,501,491,503,6.15,6.4,6.3,6.38,6.62,6.01,6.14,6.12,6.42,6.11,6.2,6.51,5.94,6.26,6.14,6.29
19,499,500,470,494,498,510,522,525,490,460,462,506,523,531,496,514,6.24,6.25,5.88,6.17,6.22,6.38,6.53,6.56,6.12,5.75,5.78,6.33,6.54,6.64,6.2,6.42
20,491,478,491,478,501,499,504,506,462,512,476,549,504,534,530,485,6.14,5.97,6.14,5.97,6.26,6.24,6.3,6.33,5.78,6.4,5.95,6.86,6.3,6.68,6.62,6.06
21,497,479,526,512,491,518,463,507,489,518,491,491,487,520,509,502,6.21,5.99,6.58,6.4,6.14,6.48,5.79,6.34,6.11,6.48,6.14,6.14,6.09,6.5,6.36,6.28
22,484,542,489,481,499,514,516,465,498,509,524,533,486,482,490,488,6.05,6.78,6.11,6.01,6.24,6.42,6.45,5.81,6.22,6.36,6.55,6.66,6.08,6.02,6.12,6.1
23,503,481,498,521,518,463,468,498,480,544,482,512,473,513,544,502,6.29,6.01,6.22,6.51,6.48,5.79,5.85,6.22,6.0,6.8,6.02,6.4,5.91,6.41,6.8,6.28
24,476,512,487,489,532,466,473,500,473,468,514,540,523,503,527,517,5.95,6.4,6.09,6.11,6.65,5.83,5.91,6.25,5.91,5.85,6.42,6.75,6.54,6.29,6.59,6.46
25,511,499,526,488,512,451,490,503,523,455,501,525,509,522,481,504,6.39,6.24,6.58,6.1,6.4,5.64,6.12,6.29,6.54,5.69,6.26,6.56,6.36,6.53,6.01,6.3
26,475,479,520,467,516,490,500,494,544,508,496,505,518,518,496,474,5.94,5.99,6.5,5.84,6.45,6.12,6.25,6.17,6.8,6.35,6.2,6.31,6.48,6.48,6.2,5.92
27,501,514,494,495,484,498,499,501,540,488,499,494,515,471,536,471,6.26,6.42,6.17,6.19,6.05,6.22,6.24,6.26,6.75,6.1,6.24,6.17,6.44,5.89,6.7,5.89
28,525,485,519,514,498,471,517,457,516,504,498,510,505,487,485,509,6.56,6.06,6.49,6.42,6.22,5.89,6.46,5.71,6.45,6.3,6.22,6.38,6.31,6.09,6.06,6.36
29,483,501,542,505,481,492,505,506,474,534,521,541,505,456,477,477,6.04,6.26,6.78,6.31,6.01,6.15,6.31,6.33,5.92,6.68,6.51,6.76,6.31,5.7,5.96,5.96
30,443,516,512,486,497,500,501,487,484,533,490,497,533,484,493,544,5.54,6.45,6.4,6.08,6.21,6.25,6.26,6.09,6.05,6.66,6.12,6.21,6.66,6.05,6.16,6.8
31,512,514,472,490,503,535,477,488,494,516,482,471,535,490,501,520,6.4,6.42,5.9,6.12,6.29,6.69,5.96,6.1,6.17,6.45,6.02,5.89,6.69,6.12,6.26,6.5
32,517,510,501,489,533,517,502,511,521,505,464,513,508,458,463,488,6.46,6.38,6.26,6.11,6.66,6.46,6.28,6.39,6.51,6.31,5.8,6.41,6.35,5.73,5.79,6.1
33,532,461,503,502,569,486,459,496,485,512,502,480,523,517,469,504,6.65,5.76,6.29,6.28,7.11,6.08,5.74,6.2,6.06,6.4,6.28,6.0,6.54,6.46,5.86,6.3
34,495,495,514,501,462,529,513,489,533,500,501,515,496,485,485,487,6.19,6.19,6.42,6.26,5.78,6.61,6.41,6.11,6.66,6.25,6.26,6.44,6.2,6.06,6.06,6.09
35,505,510,518,499,497,489,518,499,476,507,495,456,486,485,536,524,6.31,6.38,6.48,6.24,6.21,6.11,6.48,6.24,5.95,6.34,6.19,5.7,6.08,6.06,6.7,6.55
36,482,502,509,484,500,492,521,498,510,486,498,525,539,468,474,512,6.02,6.28,6.36,6.05,6.25,6.15,6.51,6.22,6.38,6.08,6.22,6.56,6.74,5.85,5.92,6.4
37,518,489,521,483,456,489,474,491,504,532,496,504,483,513,551,496,6.48,6.11,6.51,6.04,5.7,6.11,5.92,6.14,6.3,6.65,6.2,6.3,6.04,6.41,6.89,6.2
38,490,487,461,512,560,493,506,501,480,534,502,493,501,556,474,450,6.12,6.09,5.76,6.4,7.0,6.16,6.33,6.26,6.0,6.68,6.28,6.16,6.26,6.95,5.92,5.62
39,470,498,515,476,552,509,500,505,499,469,481,487,532,520,506,481,5.88,6.22,6.44,5.95,6.9,6.36,6.25,6.31,6.24,5.86,6.01,6.09,6.65,6.5,6.33,6.01
40,483,501,516,520,498,484,504,550,504,480,472,478,513,466,509,522,6.04,6.26,6.45,6.5,6.22,6.05,6.3,6.88,6.3,6.0,5.9,5.97,6.41,5.83,6.36,6.53
41,495,471,523,488,505,515,479,504,531,515,496,483,500,476,523,496,6.19,5.89,6.54,6.1,6.31,6.44,5.99,6.3,6.64,6.44,6.2,6.04,6.25,5.95,6.54,6.2
42,514,483,489,495,522,487,514,532,494,486,513,497,487,495,510,482,6.42,6.04,6.11,6.19,6.53,6.09,6.42,6.65,6.17,6.08,6.41,6.21,6.09,6.19,6.38,6.02
43,530,504,469,470,484,507,552,499,504,496,504,516,492,471,501,501,6.62,6.3,5.86,5.88,6.05,6.34,6.9,6.24,6.3,6.2,6.3,6.45,6.15,5.89,6.26,6.26
44,535,457,515,515,479,530,498,530,478,480,484,479,500,463,522,535,6.69,5.71,6.44,6.44,5.99,6.62,6.22,6.62,5.97,6.0,6.05,5.99,6.25,5.79,6.53,6.69
45,506,530,501,477,422,484,495,535,513,502,501,496,533,474,478,553,6.33,6.62,6.26,5.96,5.27,6.05,6.19,6.69,6.41,6.28,6.26,6.2,6.66,5.92,5.97,6.91
46,527,553,472,496,548,478,492,440,471,530,531,538,494,476,490,464,6.59,6.91,5.9,6.2,6.85,5.97,6.15,5.5,5.89,6.62,6.64,6.73,6.17,5.95,6.12,5.8
47,521,482,504,478,506,467,487,478,550,508,496,527,507,504,470,515,6.51,6.02,6.3,5.97,6.33,5.84,6.09,5.97,6.88,6.35,6.2,6.59,6.34,6.3,5.88,6.44
48,495,496,476,451,524,543,550,505,471,480,515,487,500,495,508,504,6.19,6.2,5.95,5.64,6.55,6.79,6.88,6.31,5.89,6.0,6.44,6.09,6.25,6.19,6.35,6.3
49,457,516,486,472,539,485,505,545,514,505,449,524,495,501,521,486,5.71,6.45,6.08,5.9,6.74,6.06,6.31,6.81,6.42,6.31,5.61,6.55,6.19,6.26,6.51,6.08
50,472,500,502,504,516,509,456,454,529,504,492,523,508,526,525,480,5.9,6.25,6.28,6.3,6.45,6.36,5.7,5.67,6.61,6.3,6.15,6.54,6.35,6.58,6.56,6.0
51,477,465,499,510,492,546,526,506,502,473,524,466,500,498,518,498,5.96,5.81,6.24,6.38,6.15,6.83,6.58,6.33,6.28,5.91,6.55,5.83,6.25,6.22,6.48,6.22
52,527,532,497,484,498,505,514,471,512,509,509,454,465,480,519,524,6.59,6.65,6.21,6.05,6.22,6.31,6.42,5.89,6.4,6.36,6.36,5.67,5.81,6.0,6.49,6.55
53,502,514,530,499,473,488,530,512,499,497,464,523,497,487,515,470,6.28,6.42,6.62,6.24,5.91,6.1,6.62,6.4,6.24,6.21,5.8,6.54,6.21,6.09,6.44,5.88
54,541,508,473,496,500,484,518,471,496,504,486,521,535,465,518,484,6.76,6.35,5.91,6.2,6.25,6.05,6.48,5.89,6.2,6.3,6.08,6.51,6.69,5.81,6.48,6.05
55,493,534,543,478,502,497,522,502,517,471,484,503,470,508,459,517,6.16,6.68,6.79,5.97,6.28,6.21,6.53,6.28,6.46,5.89,6.05,6.29,5.88,6.35,5.74,6.46
56,517,512,511,506,507,489,486,472,485,491,489,479,539,490,503,524,6.46,6.4,6.39,6.33,6.34,6.11,6.08,5.9,6.06,6.14,6.11,5.99,6.74,6.12,6.29,6.55
57,526,486,491,487,465,463,497,546,553,512,525,493,471,499,486,500,6.58,6.08,6.14,6.09,5.81,5.79,6.21,6.83,6.91,6.4,6.56,6.16,5.89,6.24,6.08,6.25
58,532,501,491,490,489,491,534,495,475,535,521,532,514,507,460,433,6.65,6.26,6.14,6.12,6.11,6.14,6.68,6.19,5.94,6.69,6.51,6.65,6.42,6.34,5.75,5.41
59,471,544,478,477,525,532,511,507,493,485,490,500,490,510,472,515,5.89,6.8,5.97,5.96,6.56,6.65,6.39,6.34,6.16,6.06,6.12,6.25,6.12,6.38,5.9,6.44
60,489,497,493,516,506,526,525,478,506,481,485,506,470,509,495,518,6.11,6.21,6.16,6.45,6.33,6.58,6.56,5.97,6.33,6.01,6.06,6.33,5.88,6.36,6.19,6.48
61,510,472,505,514,500,482,500,515,487,519,501,496,494,500,498,507,6.38,5.9,6.31,6.42,6.25,6.02,6.25,6.44,6.09,6.49,6.26,6.2,6.17,6.25,6.22,6.34
62,526,528,513,509,510,435,516,517,510,476,494,502,481,474,548,461,6.58,6.6,6.41,6.36,6.38,5.44,6.45,6.46,6.38,5.95,6.17,6.28,6.01,5.92,6.85,5.76
63,461,520,545,501,495,503,542,508,491,513,499,500,514,471,493,444,5.76,6.5,6.81,6.26,6.19,6.29,6.78,6.35,6.14,6.41,6.24,6.25,6.42,5.89,6.16,5.55
64,505,501,487,481,472,506,489,507,495,511,535,515,515,480,495,506,6.31,6.26,6.09,6.01,5.9,6.33,6.11,6.34,6.19,6.39,6.69,6.44,6.44,6.0,6.19,6.33
65,482,514,550,540,501,492,528,475,494,462,486,539,483,508,457,489,6.02,6.42,6.88,6.75,6.26,6.15,6.6,5.94,6.17,5.78,6.08,6.74,6.04,6.35,5.71,6.11
66,511,518,499,518,524,503,488,496,468,523,504,483,452,541,475,497,6.39,6.48,6.24,6.48,6.55,6.29,6.1,6.2,5.85,6.54,6.3,6.04,5.65,6.76,5.94,6.21
67,464,525,470,556,479,507,489,511,516,505,501,541,481,490,444,521,5.8,6.56,5.88,6.95,5.99,6.34,6.11,6.39,6.45,6.31,6.26,6.76,6.01,6.12,5.55,6.51
68,469,480,511,500,494,497,497,501,525,517,483,538,499,523,475,491,5.86,6.0,6.39,6.25,6.17,6.21,6.21,6.26,6.56,6.46,6.04,6.73,6.24,6.54,5.94,6.14
69,512,487,493,496,497,503,492,493,528,501,498,530,496,490,499,485,6.4,6.09,6.16,6.2,6.21,6.29,6.15,6.16,6.6,6.26,6.22,6.62,6.2,6.12,6.24,6.06
70,502,515,478,484,522,471,496,505,479,514,502,552,499,519,497,465,6.28,6.44,5.97,6.05,6.53,5.89,6.2,6.31,5.99,6.42,6.28,6.9,6.24,6.49,6.21,5.81
71,473,503,493,479,495,513,515,490,496,484,495,532,504,523,494,511,5.91,6.29,6.16,5.99,6.19,6.41,6.44,6.12,6.2,6.05,6.19,6.65,6.3,6.54,6.17,6.39
73,531,520,502,480,539,507,480,497,497,474,494,486,488,497,485,523,6.64,6.5,6.28,6.0,6.74,6.34,6.0,6.21,6.21,5.92,6.17,6.08,6.1,6.21,6.06,6.54
74,470,455,513,500,495,529,518,471,504,543,518,475,520,489,505,495,5.88,5.69,6.41,6.25,6.19,6.61,6.48,5.89,6.3,6.79,6.48,5.94,6.5,6.11,6.31,6.19
75,498,459,504,521,529,462,495,516,471,541,486,506,474,539,495,504,6.22,5.74,6.3,6.51,6.61,5.78,6.19,6.45,5.89,6.76,6.08,6.33,5.92,6.74,6.19,6.3
