Number,Value
0,1
1,1
2,2
3,1
4,2
5,2
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,2
23,2
24,1
25,1
26,1
27,1
28,2
29,1
30,2
31,1
32,2
33,1
34,1
35,1
36,1
37,1
38,2
39,2
40,2
41,1
42,1
43,2
44,1
45,1
46,1
47,2
48,1
49,1
50,2
51,1
52,2
53,2
54,2
55,2
56,1
57,1
58,2
59,1
60,2
61,1
62,1
63,1
64,2
65,1
66,2
67,1
68,1
69,1
70,2
71,2
72,2
73,2
74,1
75,1
76,1
77,1
78,2
79,1
80,1
81,2
82,2
83,1
84,2
85,1
86,1
87,2
88,2
89,1
90,1
91,1
92,1
93,2
94,2
95,2
96,1
97,1
98,2
99,1
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,1
108,1
109,2
110,2
111,1
112,2
113,2
114,2
115,1
116,1
117,2
118,1
119,2
120,2
121,1
122,2
123,2
124,2
125,2
126,1
127,2
128,2
129,2
130,1
131,2
132,1
133,1
134,2
135,2
136,1
137,1
138,1
139,1
140,2
141,2
142,2
143,1
144,1
145,2
146,1
147,1
148,1
149,1
150,2
151,2
152,2
153,1
154,1
155,1
156,2
157,2
158,2
159,2
160,1
161,2
162,1
163,2
164,2
165,1
166,2
167,2
168,1
169,2
170,1
171,1
172,2
173,2
174,1
175,1
176,1
177,1
178,2
179,1
180,1
181,2
182,1
183,2
184,2
185,2
186,1
187,1
188,2
189,1
190,1
191,1
192,1
193,1
194,2
195,2
196,1
197,1
198,2
199,1
200,1
201,2
202,1
203,1
204,1
205,2
206,1
207,1
208,1
209,2
210,2
211,1
212,2
213,2
214,1
215,2
216,2
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,2
228,1
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,1
238,2
239,2
240,1
241,2
242,2
243,2
244,1
245,1
246,2
247,1
248,1
249,1
250,1
251,1
252,2
253,2
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,2
262,1
263,1
264,2
265,2
266,1
267,1
268,2
269,2
270,2
271,1
272,2
273,2
274,1
275,2
276,1
277,1
278,2
279,1
280,2
281,1
282,2
283,2
284,2
285,1
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,1
295,1
296,1
297,1
298,2
299,2
300,1
301,2
302,2
303,1
304,2
305,1
306,2
307,1
308,2
309,1
310,1
311,1
312,2
313,1
314,2
315,2
316,1
317,2
318,2
319,2
320,2
321,2
322,1
323,1
324,1
325,1
326,2
327,2
328,2
329,1
330,1
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,1
339,1
340,1
341,1
342,2
343,2
344,1
345,1
346,1
347,2
348,2
349,2
350,1
351,2
352,1
353,1
354,1
355,2
356,1
357,1
358,1
359,2
360,2
361,1
362,2
363,1
364,1
365,2
366,1
367,1
368,1
369,1
370,1
371,1
372,2
373,2
374,1
375,2
376,2
377,2
378,2
379,1
380,1
381,2
382,2
383,2
384,1
385,1
386,1
387,2
388,1
389,2
390,2
391,2
392,1
393,1
394,2
395,2
396,1
397,1
398,1
399,1
400,1
401,1
402,2
403,1
404,2
405,1
406,2
407,2
408,2
409,1
410,2
411,1
412,2
413,1
414,2
415,1
416,2
417,2
418,2
419,2
420,1
421,1
422,2
423,2
424,2
425,2
426,1
427,1
428,1
429,1
430,2
431,1
432,1
433,1
434,2
435,2
436,2
437,2
438,1
439,1
440,1
441,2
442,1
443,1
444,2
445,2
446,1
447,2
448,1
449,1
450,1
451,2
452,1
453,1
454,1
455,2
456,1
457,1
458,1
459,2
460,1
461,2
462,1
463,1
464,1
465,2
466,1
467,2
468,2
469,2
470,2
471,2
472,1
473,2
474,2
475,2
476,1
477,1
478,2
479,2
480,2
481,2
482,1
483,2
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,2
493,1
494,2
495,2
496,2
497,1
498,1
499,2
500,1
501,2
502,1
503,2
504,1
505,2
506,2
507,1
508,1
509,2
510,1
511,2
512,1
513,2
514,2
515,1
516,2
517,2
518,2
519,1
520,2
521,2
522,1
523,2
524,2
525,2
526,1
527,2
528,1
529,2
530,1
531,2
532,2
533,1
534,2
535,1
536,2
537,1
538,2
539,2
540,2
541,1
542,2
543,1
544,2
545,1
546,1
547,1
548,2
549,1
550,2
551,2
552,2
553,2
554,1
555,1
556,1
557,1
558,1
559,1
560,2
561,1
562,1
563,1
564,2
565,1
566,1
567,2
568,1
569,2
570,1
571,1
572,2
573,1
574,2
575,1
576,2
577,1
578,2
579,1
580,1
581,1
582,1
583,2
584,2
585,1
586,2
587,1
588,1
589,1
590,1
591,1
592,2
593,1
594,1
595,2
596,1
597,1
598,1
599,2
600,2
601,2
602,2
603,1
604,1
605,1
606,2
607,1
608,1
609,1
610,1
611,2
612,2
613,2
614,2
615,2
616,1
617,2
618,2
619,1
620,2
621,1
622,1
623,2
624,2
625,2
626,1
627,2
628,2
629,2
630,2
631,2
632,2
633,1
634,1
635,2
636,1
637,2
638,2
639,2
640,2
641,1
642,2
643,2
644,1
645,1
646,1
647,2
648,1
649,1
650,2
651,2
652,2
653,1
654,2
655,2
656,2
657,1
658,2
659,2
660,1
661,2
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,2
673,1
674,2
675,1
676,1
677,1
678,1
679,2
680,2
681,1
682,1
683,2
684,1
685,2
686,2
687,2
688,1
689,1
690,2
691,2
692,1
693,1
694,2
695,1
696,2
697,2
698,1
699,2
700,2
701,2
702,2
703,2
704,2
705,1
706,2
707,1
708,1
709,1
710,2
711,1
712,1
713,1
714,1
715,1
716,2
717,2
718,1
719,2
720,2
721,1
722,1
723,1
724,1
725,1
726,1
727,2
728,1
729,1
730,2
731,2
732,1
733,2
734,1
735,1
736,2
737,1
738,2
739,2
740,2
741,2
742,2
743,1
744,1
745,1
746,2
747,1
748,1
749,2
750,1
751,1
752,2
753,1
754,1
755,1
756,2
757,1
758,1
759,2
760,1
761,2
762,2
763,1
764,2
765,2
766,1
767,2
768,1
769,2
770,2
771,2
772,1
773,1
774,1
775,1
776,1
777,1
778,2
779,2
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,2
788,1
789,1
790,1
791,2
792,2
793,2
794,1
795,2
796,2
797,1
798,1
799,2
800,1
801,1
802,2
803,1
804,2
805,2
806,1
807,1
808,2
809,2
810,1
811,1
