Run #,Times 0,Times 1,Percent 0,Percent 1
0,533,467,53.3,46.7
1,507,493,50.7,49.3
2,470,530,47.0,53.0
3,517,483,51.7,48.3
4,514,486,51.4,48.6
5,487,513,48.7,51.3
6,534,466,53.4,46.6
7,487,513,48.7,51.3
8,486,514,48.6,51.4
9,501,499,50.1,49.9
10,514,486,51.4,48.6
11,492,508,49.2,50.8
12,495,505,49.5,50.5
15,503,497,50.3,49.7
16,498,502,49.8,50.2
17,507,493,50.7,49.3
18,490,510,49.0,51.0
19,508,492,50.8,49.2
20,501,499,50.1,49.9
21,506,494,50.6,49.4
22,498,502,49.8,50.2
23,499,501,49.9,50.1
23,519,481,51.9,48.1
24,499,501,49.9,50.1
25,503,497,50.3,49.7
26,499,501,49.9,50.1
27,531,469,53.1,46.9
28,525,475,52.5,47.5
29,513,487,51.3,48.7
30,510,490,51.0,49.0
31,511,489,51.1,48.9
32,491,509,49.1,50.9
33,486,514,48.6,51.4
34,509,491,50.9,49.1
35,476,524,47.6,52.4
36,487,513,48.7,51.3
37,508,492,50.8,49.2
38,522,478,52.2,47.8
39,509,491,50.9,49.1
40,516,484,51.6,48.4
41,502,498,50.2,49.8
42,504,496,50.4,49.6
43,515,485,51.5,48.5
44,487,513,48.7,51.3
45,497,503,49.7,50.3
46,492,508,49.2,50.8
47,516,484,51.6,48.4
48,476,524,47.6,52.4
49,505,495,50.5,49.5
50,505,495,50.5,49.5
51,509,491,50.9,49.1
52,491,509,49.1,50.9
53,484,516,48.4,51.6
54,507,493,50.7,49.3
55,517,483,51.7,48.3
56,513,487,51.3,48.7
57,471,529,47.1,52.9
58,515,485,51.5,48.5
59,515,485,51.5,48.5
60,518,482,51.8,48.2
61,511,489,51.1,48.9
62,482,518,48.2,51.8
63,524,476,52.4,47.6
64,513,487,51.3,48.7
65,495,505,49.5,50.5
66,513,487,51.3,48.7
67,506,494,50.6,49.4
68,494,506,49.4,50.6
69,515,485,51.5,48.5
70,527,473,52.7,47.3
71,492,508,49.2,50.8
72,493,507,49.3,50.7
73,499,501,49.9,50.1
74,514,486,51.4,48.6
75,491,509,49.1,50.9
76,490,510,49.0,51.0
77,463,537,46.3,53.7
78,505,495,50.5,49.5
79,515,485,51.5,48.5
79,499,501,49.9,50.1
80,490,510,49.0,51.0
81,481,519,48.1,51.9
82,493,507,49.3,50.7
83,476,524,47.6,52.4
83,483,517,48.3,51.7
84,499,501,49.9,50.1
85,525,475,52.5,47.5
86,478,522,47.8,52.2
87,539,461,53.9,46.1
88,499,501,49.9,50.1
89,513,487,51.3,48.7
90,504,496,50.4,49.6
91,494,506,49.4,50.6
92,518,482,51.8,48.2
93,482,518,48.2,51.8
94,515,485,51.5,48.5
95,488,512,48.8,51.2
96,501,499,50.1,49.9
97,507,493,50.7,49.3
98,502,498,50.2,49.8
99,499,501,49.9,50.1
100,486,514,48.6,51.4
101,505,495,50.5,49.5
102,472,528,47.2,52.8
103,487,513,48.7,51.3
104,489,511,48.9,51.1
105,502,498,50.2,49.8
105,499,501,49.9,50.1
106,507,493,50.7,49.3
107,485,515,48.5,51.5
108,537,463,53.7,46.3
109,472,528,47.2,52.8
110,506,494,50.6,49.4
111,504,496,50.4,49.6
112,513,487,51.3,48.7
113,512,488,51.2,48.8
114,494,506,49.4,50.6
114,509,491,50.9,49.1
115,465,535,46.5,53.5
116,505,495,50.5,49.5
117,498,502,49.8,50.2
118,505,495,50.5,49.5
119,482,518,48.2,51.8
120,503,497,50.3,49.7
121,496,504,49.6,50.4
122,495,505,49.5,50.5
123,526,474,52.6,47.4
124,505,495,50.5,49.5
125,514,486,51.4,48.6
126,498,502,49.8,50.2
127,508,492,50.8,49.2
128,500,500,50.0,50.0
129,499,501,49.9,50.1
130,514,486,51.4,48.6
131,488,512,48.8,51.2
132,519,481,51.9,48.1
133,492,508,49.2,50.8
134,489,511,48.9,51.1
135,482,518,48.2,51.8
136,502,498,50.2,49.8
137,484,516,48.4,51.6
138,534,466,53.4,46.6
139,504,496,50.4,49.6
140,541,459,54.1,45.9
141,481,519,48.1,51.9
142,511,489,51.1,48.9
143,499,501,49.9,50.1
144,482,518,48.2,51.8
145,487,513,48.7,51.3
146,490,510,49.0,51.0
147,512,488,51.2,48.8
148,483,517,48.3,51.7
149,484,516,48.4,51.6
150,517,483,51.7,48.3
151,471,529,47.1,52.9
152,511,489,51.1,48.9
153,510,490,51.0,49.0
154,510,490,51.0,49.0
155,501,499,50.1,49.9
156,498,502,49.8,50.2
157,469,531,46.9,53.1
158,470,530,47.0,53.0
159,489,511,48.9,51.1
160,486,514,48.6,51.4
161,496,504,49.6,50.4
162,511,489,51.1,48.9
163,489,511,48.9,51.1
164,477,523,47.7,52.3
165,500,500,50.0,50.0
166,486,514,48.6,51.4
167,488,512,48.8,51.2
167,522,478,52.2,47.8
168,522,478,52.2,47.8
169,512,488,51.2,48.8
485,515,48.5,51.5
489,511,48.9,51.1
511,489,51.1,48.9
502,498,50.2,49.8
520,480,52.0,48.0
486,514,48.6,51.4
502,498,50.2,49.8
498,502,49.8,50.2
491,509,49.1,50.9
497,503,49.7,50.3
510,490,51.0,49.0
503,497,50.3,49.7
489,511,48.9,51.1
507,493,50.7,49.3
500,500,50.0,50.0
496,504,49.6,50.4
484,516,48.4,51.6
469,531,46.9,53.1
517,483,51.7,48.3
492,508,49.2,50.8
537,463,53.7,46.3
510,490,51.0,49.0
501,499,50.1,49.9
480,520,48.0,52.0
525,475,52.5,47.5
465,535,46.5,53.5
491,509,49.1,50.9
482,518,48.2,51.8
483,517,48.3,51.7
488,512,48.8,51.2
511,489,51.1,48.9
502,498,50.2,49.8
506,494,50.6,49.4
507,493,50.7,49.3
504,496,50.4,49.6
503,497,50.3,49.7
487,513,48.7,51.3
509,491,50.9,49.1
509,491,50.9,49.1
456,544,45.6,54.4
