Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7
0,525,477,494,478,499,490,528,509,13.12,11.92,12.35,11.95,12.47,12.25,13.2,12.72
1,510,492,492,507,503,498,508,490,12.75,12.3,12.3,12.68,12.57,12.45,12.7,12.25
2,481,516,488,513,504,493,513,492,12.03,12.9,12.2,12.83,12.6,12.32,12.83,12.3
3,487,491,503,523,482,536,492,486,12.17,12.28,12.57,13.08,12.05,13.4,12.3,12.15
4,539,501,491,483,470,527,500,489,13.48,12.53,12.28,12.07,11.75,13.18,12.5,12.22
5,469,496,550,498,492,477,492,526,11.72,12.4,13.75,12.45,12.3,11.92,12.3,13.15
6,478,493,506,508,506,517,488,504,11.95,12.32,12.65,12.7,12.65,12.93,12.2,12.6
7,500,504,486,499,469,530,505,507,12.5,12.6,12.15,12.47,11.72,13.25,12.62,12.68
8,500,505,515,502,490,510,472,506,12.5,12.62,12.88,12.55,12.25,12.75,11.8,12.65
9,492,528,530,488,511,490,476,485,12.3,13.2,13.25,12.2,12.78,12.25,11.9,12.12
10,555,520,480,476,510,453,495,511,13.88,13.0,12.0,11.9,12.75,11.33,12.38,12.78
11,484,495,496,485,530,515,495,500,12.1,12.38,12.4,12.12,13.25,12.88,12.38,12.5
12,540,493,524,491,510,472,485,485,13.5,12.32,13.1,12.28,12.75,11.8,12.12,12.12
13,515,482,501,534,493,508,479,488,12.88,12.05,12.53,13.35,12.32,12.7,11.97,12.2
14,521,471,497,476,505,511,516,503,13.03,11.77,12.43,11.9,12.62,12.78,12.9,12.57
15,522,488,483,512,506,466,512,511,13.05,12.2,12.07,12.8,12.65,11.65,12.8,12.78
16,493,503,479,510,490,510,503,512,12.32,12.57,11.97,12.75,12.25,12.75,12.57,12.8
17,499,497,470,519,509,532,489,485,12.47,12.43,11.75,12.97,12.72,13.3,12.22,12.12
18,535,513,527,508,466,488,490,473,13.38,12.83,13.18,12.7,11.65,12.2,12.25,11.82
19,499,500,538,519,479,483,476,506,12.47,12.5,13.45,12.97,11.97,12.07,11.9,12.65
20,488,503,508,487,462,509,543,500,12.2,12.57,12.7,12.17,11.55,12.72,13.58,12.5
21,482,514,504,456,516,505,492,531,12.05,12.85,12.6,11.4,12.9,12.62,12.3,13.28
22,495,500,463,491,518,483,505,545,12.38,12.5,11.58,12.28,12.95,12.07,12.62,13.63
23,479,498,490,518,497,497,497,524,11.97,12.45,12.25,12.95,12.43,12.43,12.43,13.1
24,507,490,504,514,493,481,488,523,12.68,12.25,12.6,12.85,12.32,12.03,12.2,13.08
25,495,497,517,491,511,492,507,490,12.38,12.43,12.93,12.28,12.78,12.3,12.68,12.25
26,494,513,492,519,511,484,491,496,12.35,12.83,12.3,12.97,12.78,12.1,12.28,12.4
27,481,536,469,500,506,499,492,517,12.03,13.4,11.72,12.5,12.65,12.47,12.3,12.93
28,476,531,484,500,476,487,545,501,11.9,13.28,12.1,12.5,11.9,12.17,13.63,12.53
29,521,509,475,491,465,482,518,539,13.03,12.72,11.88,12.28,11.62,12.05,12.95,13.48
30,500,494,529,505,510,467,517,478,12.5,12.35,13.23,12.62,12.75,11.68,12.93,11.95
31,522,496,527,487,513,489,485,481,13.05,12.4,13.18,12.17,12.83,12.22,12.12,12.03
32,492,476,495,518,519,499,503,498,12.3,11.9,12.38,12.95,12.97,12.47,12.57,12.45
33,526,489,498,457,528,501,497,504,13.15,12.22,12.45,11.43,13.2,12.53,12.43,12.6
34,531,461,535,494,532,472,500,475,13.28,11.53,13.38,12.35,13.3,11.8,12.5,11.88
35,519,524,502,504,476,523,453,499,12.97,13.1,12.55,12.6,11.9,13.08,11.33,12.47
36,495,493,475,478,497,533,495,534,12.38,12.32,11.88,11.95,12.43,13.33,12.38,13.35
37,492,515,502,528,488,489,516,470,12.3,12.88,12.55,13.2,12.2,12.22,12.9,11.75
38,512,489,492,507,491,515,521,473,12.8,12.22,12.3,12.68,12.28,12.88,13.03,11.82
39,502,477,515,496,498,516,497,499,12.55,11.92,12.88,12.4,12.45,12.9,12.43,12.47
40,476,493,516,483,487,502,521,522,11.9,12.32,12.9,12.07,12.17,12.55,13.03,13.05
41,533,506,520,484,487,491,497,482,13.33,12.65,13.0,12.1,12.17,12.28,12.43,12.05
42,508,526,472,513,449,502,521,509,12.7,13.15,11.8,12.83,11.22,12.55,13.03,12.72
43,511,510,525,490,474,512,461,517,12.78,12.75,13.12,12.25,11.85,12.8,11.53,12.93
44,501,516,493,497,509,492,509,483,12.53,12.9,12.32,12.43,12.72,12.3,12.72,12.07
45,488,517,534,499,478,501,467,516,12.2,12.93,13.35,12.47,11.95,12.53,11.68,12.9
46,491,485,520,505,492,541,524,442,12.28,12.12,13.0,12.62,12.3,13.53,13.1,11.05
47,500,533,493,467,520,505,463,519,12.5,13.33,12.32,11.68,13.0,12.62,11.58,12.97
48,497,525,511,511,464,502,505,485,12.43,13.12,12.78,12.78,11.6,12.55,12.62,12.12
49,475,505,526,505,539,448,485,517,11.88,12.62,13.15,12.62,13.48,11.2,12.12,12.93
50,493,496,483,487,568,527,488,458,12.32,12.4,12.07,12.17,14.2,13.18,12.2,11.45
51,501,506,502,508,477,542,472,492,12.53,12.65,12.55,12.7,11.92,13.55,11.8,12.3
52,490,496,465,461,525,531,487,545,12.25,12.4,11.62,11.53,13.12,13.28,12.17,13.63
53,497,511,510,530,497,495,452,508,12.43,12.78,12.75,13.25,12.43,12.38,11.3,12.7
54,471,499,536,510,453,493,516,522,11.77,12.47,13.4,12.75,11.33,12.32,12.9,13.05
55,501,498,482,501,498,513,527,480,12.53,12.45,12.05,12.53,12.45,12.83,13.18,12.0
56,498,483,520,526,464,516,513,480,12.45,12.07,13.0,13.15,11.6,12.9,12.83,12.0
57,504,473,489,540,473,492,545,484,12.6,11.82,12.22,13.5,11.82,12.3,13.63,12.1
58,449,522,487,552,485,487,515,503,11.22,13.05,12.17,13.8,12.12,12.17,12.88,12.57
59,481,500,493,522,481,529,504,490,12.03,12.5,12.32,13.05,12.03,13.23,12.6,12.25
60,505,492,483,511,518,498,474,519,12.62,12.3,12.07,12.78,12.95,12.45,11.85,12.97
61,459,477,497,528,539,509,506,485,11.47,11.92,12.43,13.2,13.48,12.72,12.65,12.12
62,505,532,498,482,524,526,473,460,12.62,13.3,12.45,12.05,13.1,13.15,11.82,11.5
63,514,510,525,496,473,500,484,498,12.85,12.75,13.12,12.4,11.82,12.5,12.1,12.45
64,485,524,525,476,502,483,504,501,12.12,13.1,13.12,11.9,12.55,12.07,12.6,12.53
65,509,465,515,493,509,491,511,507,12.72,11.62,12.88,12.32,12.72,12.28,12.78,12.68
66,508,507,497,442,522,487,511,526,12.7,12.68,12.43,11.05,13.05,12.17,12.78,13.15
67,491,473,478,509,530,500,493,526,12.28,11.82,11.95,12.72,13.25,12.5,12.32,13.15
68,527,478,542,546,486,458,460,503,13.18,11.95,13.55,13.65,12.15,11.45,11.5,12.57
69,491,520,485,540,507,484,480,493,12.28,13.0,12.12,13.5,12.68,12.1,12.0,12.32
70,472,532,472,488,538,520,490,488,11.8,13.3,11.8,12.2,13.45,13.0,12.25,12.2
71,533,484,488,501,496,478,501,519,13.33,12.1,12.2,12.53,12.4,11.95,12.53,12.97
72,488,512,490,457,547,491,518,497,12.2,12.8,12.25,11.43,13.68,12.28,12.95,12.43
73,514,528,467,517,473,508,499,494,12.85,13.2,11.68,12.93,11.82,12.7,12.47,12.35
74,511,513,493,514,509,482,491,487,12.78,12.83,12.32,12.85,12.72,12.05,12.28,12.17
75,485,479,501,534,472,494,518,517,12.12,11.97,12.53,13.35,11.8,12.35,12.95,12.93
76,491,483,514,508,510,476,521,497,12.28,12.07,12.85,12.7,12.75,11.9,13.03,12.43
77,489,501,527,493,487,489,495,519,12.22,12.53,13.18,12.32,12.17,12.22,12.38,12.97
78,472,494,468,544,490,502,525,505,11.8,12.35,11.7,13.6,12.25,12.55,13.12,12.62
79,502,488,460,481,494,494,511,570,12.55,12.2,11.5,12.03,12.35,12.35,12.78,14.25
80,504,506,528,497,470,483,456,556,12.6,12.65,13.2,12.43,11.75,12.07,11.4,13.9
81,522,520,480,482,471,543,516,466,13.05,13.0,12.0,12.05,11.77,13.58,12.9,11.65
82,488,496,527,548,469,502,478,492,12.2,12.4,13.18,13.7,11.72,12.55,11.95,12.3
83,492,517,481,501,523,513,494,479,12.3,12.93,12.03,12.53,13.08,12.83,12.35,11.97
84,515,472,515,502,479,521,503,493,12.88,11.8,12.88,12.55,11.97,13.03,12.57,12.32
85,498,539,507,499,500,460,501,496,12.45,13.48,12.68,12.47,12.5,11.5,12.53,12.4
86,477,506,532,462,535,482,487,519,11.92,12.65,13.3,11.55,13.38,12.05,12.17,12.97
87,506,494,487,505,493,482,538,495,12.65,12.35,12.17,12.62,12.32,12.05,13.45,12.38
88,493,492,476,522,500,507,516,494,12.32,12.3,11.9,13.05,12.5,12.68,12.9,12.35
89,491,490,534,492,493,512,514,474,12.28,12.25,13.35,12.3,12.32,12.8,12.85,11.85
90,515,504,451,507,476,546,527,474,12.88,12.6,11.28,12.68,11.9,13.65,13.18,11.85
91,483,510,496,499,495,514,503,500,12.07,12.75,12.4,12.47,12.38,12.85,12.57,12.5
92,518,553,482,494,499,507,475,472,12.95,13.83,12.05,12.35,12.47,12.68,11.88,11.8
93,516,496,518,482,517,470,509,492,12.9,12.4,12.95,12.05,12.93,11.75,12.72,12.3
