Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14
0,490,520,530,520,486,518,503,506,454,498,527,475,496,479,498,6.53,6.93,7.07,6.93,6.48,6.91,6.71,6.75,6.05,6.64,7.03,6.33,6.61,6.39,6.64
1,512,486,526,531,488,471,493,463,481,505,464,494,548,522,516,6.83,6.48,7.01,7.08,6.51,6.28,6.57,6.17,6.41,6.73,6.19,6.59,7.31,6.96,6.88
2,527,516,541,493,500,515,480,479,521,513,497,456,490,469,503,7.03,6.88,7.21,6.57,6.67,6.87,6.4,6.39,6.95,6.84,6.63,6.08,6.53,6.25,6.71
3,505,471,503,488,477,503,493,513,478,532,513,498,516,492,518,6.73,6.28,6.71,6.51,6.36,6.71,6.57,6.84,6.37,7.09,6.84,6.64,6.88,6.56,6.91
4,534,512,505,524,490,462,503,499,483,497,528,466,482,510,505,7.12,6.83,6.73,6.99,6.53,6.16,6.71,6.65,6.44,6.63,7.04,6.21,6.43,6.8,6.73
5,525,512,492,492,506,480,512,467,519,500,511,495,506,503,480,7.0,6.83,6.56,6.56,6.75,6.4,6.83,6.23,6.92,6.67,6.81,6.6,6.75,6.71,6.4
6,522,497,512,485,474,510,490,518,509,521,483,502,484,499,494,6.96,6.63,6.83,6.47,6.32,6.8,6.53,6.91,6.79,6.95,6.44,6.69,6.45,6.65,6.59
7,500,508,519,504,515,495,453,464,498,533,498,506,497,466,544,6.67,6.77,6.92,6.72,6.87,6.6,6.04,6.19,6.64,7.11,6.64,6.75,6.63,6.21,7.25
8,487,514,489,476,499,530,482,523,500,519,524,511,501,457,488,6.49,6.85,6.52,6.35,6.65,7.07,6.43,6.97,6.67,6.92,6.99,6.81,6.68,6.09,6.51
9,504,538,458,513,509,467,531,500,504,519,472,520,523,486,456,6.72,7.17,6.11,6.84,6.79,6.23,7.08,6.67,6.72,6.92,6.29,6.93,6.97,6.48,6.08
10,491,505,486,488,520,469,499,508,528,494,528,495,509,483,497,6.55,6.73,6.48,6.51,6.93,6.25,6.65,6.77,7.04,6.59,7.04,6.6,6.79,6.44,6.63
11,504,506,486,513,510,452,485,508,520,479,523,481,530,492,511,6.72,6.75,6.48,6.84,6.8,6.03,6.47,6.77,6.93,6.39,6.97,6.41,7.07,6.56,6.81
12,535,481,481,491,508,499,499,512,498,465,496,502,526,482,525,7.13,6.41,6.41,6.55,6.77,6.65,6.65,6.83,6.64,6.2,6.61,6.69,7.01,6.43,7.0
