Number,Value
0,18
1,11
2,6
3,8
4,17
5,16
6,16
7,5
8,3
9,17
10,4
11,1
12,15
13,18
14,15
15,15
16,19
17,14
18,12
19,5
20,13
21,1
22,9
23,12
24,9
25,17
26,15
27,9
28,4
29,2
30,3
31,2
32,18
33,12
34,7
35,13
36,1
37,4
38,19
39,8
40,1
41,17
42,5
43,1
44,19
45,15
46,19
47,10
48,16
49,16
50,11
51,10
52,8
53,13
54,10
55,13
56,17
57,18
58,3
59,6
60,19
61,19
62,5
63,19
64,6
65,17
66,16
67,18
68,10
69,20
70,6
71,5
72,17
73,18
74,14
75,15
76,17
77,15
78,5
79,3
80,15
81,13
82,17
83,19
84,17
85,11
86,16
87,11
88,18
89,2
90,11
91,4
92,3
93,11
94,19
95,10
96,2
97,19
98,19
99,15
100,17
101,9
102,16
103,12
104,6
105,17
106,11
107,3
108,19
109,5
110,14
111,18
112,4
113,18
114,11
115,10
116,2
117,1
118,14
119,14
120,18
121,7
122,16
123,3
124,14
125,9
126,2
127,11
128,7
129,8
130,17
131,14
132,13
133,17
134,20
135,20
136,6
137,8
138,8
139,5
140,13
141,17
142,15
143,14
144,9
145,9
146,11
147,1
148,11
149,12
150,7
151,18
152,15
153,15
154,2
155,20
156,14
157,19
158,10
159,8
160,3
161,14
162,5
163,1
164,11
165,13
166,14
167,1
168,18
169,1
170,19
171,7
172,14
173,2
174,6
175,6
176,4
177,15
178,13
179,8
180,4
181,18
182,4
183,12
184,9
185,14
186,7
187,17
188,17
189,1
190,11
191,19
192,17
193,20
194,5
195,5
196,4
197,20
198,17
199,8
200,1
201,14
202,20
203,9
204,19
205,9
206,1
207,6
208,5
209,8
210,16
211,10
212,3
213,10
214,2
215,15
216,16
217,2
218,12
219,14
220,2
221,20
222,18
223,5
224,9
225,7
226,3
227,9
228,19
229,4
230,20
231,9
232,12
233,11
234,4
235,1
236,5
237,10
238,18
239,10
240,20
241,7
242,12
243,4
244,4
245,5
246,7
247,4
248,16
249,4
250,8
251,1
252,10
253,11
254,1
255,1
256,20
257,11
258,20
259,1
260,11
261,12
262,10
263,1
264,2
265,11
266,6
267,7
268,5
269,15
270,9
271,1
272,10
273,11
274,6
275,6
276,7
277,7
278,7
279,8
280,14
281,15
282,12
283,7
284,18
285,18
286,11
287,2
288,3
289,19
290,15
291,17
292,20
293,18
294,17
295,11
296,3
297,8
298,20
299,15
300,1
301,17
302,13
303,20
304,8
305,1
306,15
307,15
308,20
309,8
310,17
311,6
312,9
313,18
314,10
315,3
316,1
317,9
318,15
319,7
320,2
321,13
322,14
323,7
324,7
325,19
326,3
327,18
328,6
329,10
330,5
331,8
332,19
333,16
334,18
335,19
336,18
337,10
338,2
339,10
340,7
341,8
342,14
343,5
344,18
345,8
346,1
347,11
348,3
349,9
350,3
351,14
352,1
353,18
354,14
355,5
356,2
357,1
358,3
359,10
360,14
361,13
362,14
363,11
364,1
365,13
366,4
367,2
368,7
369,14
370,4
371,6
372,6
373,14
374,20
375,2
376,15
377,8
378,5
379,1
380,16
381,13
382,20
383,16
384,7
385,11
386,11
387,11
388,2
389,5
390,1
391,1
392,14
393,4
394,9
395,13
396,13
397,4
398,12
399,7
400,10
401,12
402,2
403,13
404,10
