Number,Value
0,6
1,4
2,7
3,7
4,14
5,19
6,14
7,9
8,5
9,20
10,15
11,15
12,8
13,19
14,19
15,15
16,3
17,6
18,15
19,20
20,9
21,7
22,6
23,12
24,14
25,19
26,12
27,11
28,1
29,2
30,4
31,12
32,19
33,1
34,7
35,15
36,12
37,17
38,17
39,4
40,12
41,2
42,18
43,3
44,11
45,13
46,2
47,16
48,16
49,1
50,18
51,8
52,20
53,10
54,11
55,10
56,8
57,17
58,2
59,5
60,6
61,8
62,12
63,9
64,13
65,12
66,18
67,11
68,17
69,15
70,1
71,4
72,15
73,15
74,15
75,11
76,19
77,13
78,3
79,2
80,10
81,15
82,17
83,14
84,5
85,1
86,19
87,7
88,5
89,14
90,19
91,7
92,6
93,19
94,8
95,11
96,11
97,7
98,5
99,15
100,6
101,4
102,4
103,13
104,16
105,5
106,19
107,7
108,19
109,11
110,9
111,12
112,17
113,1
114,18
115,16
116,14
117,17
118,13
119,16
120,3
121,2
122,12
123,20
124,11
125,19
126,19
127,10
128,18
129,2
130,19
131,5
132,3
133,14
134,11
135,1
136,17
137,6
138,11
139,14
140,2
141,19
142,10
143,6
144,14
145,20
146,11
147,4
148,6
149,11
150,5
151,14
152,4
153,10
154,14
155,12
156,7
157,14
158,10
159,17
160,3
161,6
162,19
163,1
164,3
165,9
166,15
167,2
168,12
169,10
170,2
171,9
172,10
173,11
174,8
175,7
176,12
177,12
178,19
179,16
180,12
181,18
182,1
183,10
184,11
185,19
186,4
187,1
188,12
189,3
190,1
191,8
192,5
193,8
194,17
195,6
196,9
197,14
198,18
199,14
200,13
201,3
202,5
203,6
204,3
205,3
206,20
207,16
208,10
209,15
210,6
211,15
212,20
213,19
214,1
215,3
216,10
217,7
218,2
219,16
220,18
221,20
222,8
223,8
224,12
225,3
226,3
227,7
228,3
229,3
230,6
231,16
232,6
233,17
234,14
235,18
236,18
237,4
238,6
239,5
240,5
241,11
242,3
243,1
244,5
245,11
246,10
247,14
248,12
249,17
250,19
251,18
252,10
253,3
254,5
255,19
256,10
257,8
258,3
259,10
260,8
261,13
262,17
263,13
264,1
265,14
266,2
267,4
268,2
269,20
270,4
271,4
272,4
273,8
274,8
275,9
276,1
277,12
278,16
279,4
280,14
281,19
282,17
283,8
284,8
285,20
286,8
287,4
288,5
289,17
290,5
291,10
292,12
293,2
294,4
295,18
296,17
297,6
298,14
299,9
300,15
301,19
302,1
303,4
304,12
305,10
306,5
307,5
308,9
309,5
310,18
311,18
312,17
313,14
314,18
315,4
316,18
317,16
318,11
319,4
320,9
321,6
322,19
323,8
324,4
325,8
326,14
327,14
328,19
329,6
330,5
331,18
332,9
333,19
334,20
335,5
336,6
337,6
338,15
339,19
340,12
341,9
342,7
343,19
344,9
345,13
346,10
347,13
348,10
349,7
350,16
351,12
352,11
353,9
354,15
355,10
356,14
357,2
358,19
359,12
360,20
361,11
362,10
363,8
364,8
365,7
366,10
367,20
368,13
369,20
370,19
371,16
372,18
373,9
374,17
375,8
376,4
377,17
378,13
379,12
380,10
381,5
382,1
383,3
384,6
385,10
386,12
387,7
388,11
389,10
390,14
391,7
392,8
393,11
394,7
395,1
396,14
397,16
398,19
399,5
400,13
401,20
402,8
403,15
404,3
405,4
406,2
407,16
408,1
409,3
410,16
411,7
412,14
413,2
414,20
415,8
416,20
417,6
418,7
419,19
420,11
421,17
422,10
423,15
424,15
425,14
426,3
427,7
428,12
429,8
430,6
431,8
432,20
433,12
434,18
435,9
436,15
437,12
438,4
439,17
440,9
441,7
442,15
443,9
444,16
