Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Times 10,Times 11,Times 12,Times 13,Times 14,Times 15,Times 16,Times 17,Times 18,Times 19,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9,Percent 10,Percent 11,Percent 12,Percent 13,Percent 14,Percent 15,Percent 16,Percent 17,Percent 18,Percent 19
0,515,469,496,497,527,482,521,484,523,526,490,474,488,500,479,455,530,517,508,519,5.15,4.69,4.96,4.97,5.27,4.82,5.21,4.84,5.23,5.26,4.9,4.74,4.88,5.0,4.79,4.55,5.3,5.17,5.08,5.19
1,505,497,519,513,489,499,502,516,463,520,525,509,458,493,529,511,495,495,478,484,5.05,4.97,5.19,5.13,4.89,4.99,5.02,5.16,4.63,5.2,5.25,5.09,4.58,4.93,5.29,5.11,4.95,4.95,4.78,4.84
2,502,496,496,475,525,483,506,522,500,522,504,523,496,498,475,468,509,489,505,506,5.02,4.96,4.96,4.75,5.25,4.83,5.06,5.22,5.0,5.22,5.04,5.23,4.96,4.98,4.75,4.68,5.09,4.89,5.05,5.06
3,494,476,493,511,522,523,487,506,486,477,507,516,463,546,503,507,503,487,494,499,4.94,4.76,4.93,5.11,5.22,5.23,4.87,5.06,4.86,4.77,5.07,5.16,4.63,5.46,5.03,5.07,5.03,4.87,4.94,4.99
4,513,527,475,522,486,520,449,522,497,492,506,488,474,485,493,510,483,511,507,540,5.13,5.27,4.75,5.22,4.86,5.2,4.49,5.22,4.97,4.92,5.06,4.88,4.74,4.85,4.93,5.1,4.83,5.11,5.07,5.4
5,461,488,461,503,500,502,521,516,478,516,497,501,520,500,507,532,512,495,508,482,4.61,4.88,4.61,5.03,5.0,5.02,5.21,5.16,4.78,5.16,4.97,5.01,5.2,5.0,5.07,5.32,5.12,4.95,5.08,4.82
6,482,507,451,533,516,479,511,519,478,470,501,508,503,532,513,483,480,528,506,500,4.82,5.07,4.51,5.33,5.16,4.79,5.11,5.19,4.78,4.7,5.01,5.08,5.03,5.32,5.13,4.83,4.8,5.28,5.06,5.0
7,481,497,496,514,492,498,503,484,515,491,520,499,521,504,505,486,472,524,490,508,4.81,4.97,4.96,5.14,4.92,4.98,5.03,4.84,5.15,4.91,5.2,4.99,5.21,5.04,5.05,4.86,4.72,5.24,4.9,5.08
8,482,489,534,481,519,504,501,482,518,478,519,496,476,539,477,503,511,486,563,442,4.82,4.89,5.34,4.81,5.19,5.04,5.01,4.82,5.18,4.78,5.19,4.96,4.76,5.39,4.77,5.03,5.11,4.86,5.63,4.42
9,513,497,454,498,490,530,523,503,483,483,499,498,487,520,494,486,470,554,500,518,5.13,4.97,4.54,4.98,4.9,5.3,5.23,5.03,4.83,4.83,4.99,4.98,4.87,5.2,4.94,4.86,4.7,5.54,5.0,5.18
