Run #,Times 0,Times 1,Times 2,Percent 0,Percent 1,Percent 2
0,491,513,496,32.73,34.2,33.07
1,508,503,489,33.87,33.53,32.6
2,474,541,485,31.6,36.07,32.33
3,552,480,468,36.8,32.0,31.2
4,527,484,489,35.13,32.27,32.6
5,523,484,493,34.87,32.27,32.87
6,512,502,486,34.13,33.47,32.4
7,519,514,467,34.6,34.27,31.13
8,505,498,497,33.67,33.2,33.13
9,534,515,451,35.6,34.33,30.07
10,507,489,504,33.8,32.6,33.6
11,517,469,514,34.47,31.27,34.27
12,485,520,495,32.33,34.67,33.0
13,499,510,491,33.27,34.0,32.73
14,487,492,521,32.47,32.8,34.73
15,482,536,482,32.13,35.73,32.13
16,517,491,492,34.47,32.73,32.8
17,488,517,495,32.53,34.47,33.0
18,523,496,481,34.87,33.07,32.07
19,513,508,479,34.2,33.87,31.93
20,496,524,480,33.07,34.93,32.0
21,541,524,435,36.07,34.93,29.0
22,493,481,526,32.87,32.07,35.07
23,513,522,465,34.2,34.8,31.0
24,498,512,490,33.2,34.13,32.67
25,495,485,520,33.0,32.33,34.67
26,488,494,518,32.53,32.93,34.53
27,497,479,524,33.13,31.93,34.93
28,500,494,506,33.33,32.93,33.73
29,467,523,510,31.13,34.87,34.0
30,493,517,490,32.87,34.47,32.67
31,496,512,492,33.07,34.13,32.8
32,501,507,492,33.4,33.8,32.8
33,494,506,500,32.93,33.73,33.33
34,477,503,520,31.8,33.53,34.67
35,507,474,519,33.8,31.6,34.6
36,476,486,538,31.73,32.4,35.87
37,513,485,502,34.2,32.33,33.47
38,498,507,495,33.2,33.8,33.0
39,524,484,492,34.93,32.27,32.8
40,503,501,496,33.53,33.4,33.07
41,504,497,499,33.6,33.13,33.27
42,480,497,523,32.0,33.13,34.87
43,510,495,495,34.0,33.0,33.0
44,520,480,500,34.67,32.0,33.33
45,503,481,516,33.53,32.07,34.4
46,487,522,491,32.47,34.8,32.73
47,480,511,509,32.0,34.07,33.93
48,525,449,526,35.0,29.93,35.07
49,487,510,503,32.47,34.0,33.53
50,497,472,531,33.13,31.47,35.4
51,464,521,515,30.93,34.73,34.33
52,503,503,494,33.53,33.53,32.93
53,492,505,503,32.8,33.67,33.53
54,483,508,509,32.2,33.87,33.93
55,499,498,503,33.27,33.2,33.53
56,482,515,503,32.13,34.33,33.53
57,520,519,461,34.67,34.6,30.73
58,492,514,494,32.8,34.27,32.93
59,474,537,489,31.6,35.8,32.6
60,482,499,519,32.13,33.27,34.6
61,469,541,490,31.27,36.07,32.67
62,492,502,506,32.8,33.47,33.73
63,521,504,475,34.73,33.6,31.67
64,491,496,513,32.73,33.07,34.2
65,513,507,480,34.2,33.8,32.0
66,464,515,521,30.93,34.33,34.73
67,533,486,481,35.53,32.4,32.07
68,502,497,501,33.47,33.13,33.4
69,493,481,526,32.87,32.07,35.07
70,496,524,480,33.07,34.93,32.0
71,487,504,509,32.47,33.6,33.93
72,524,478,498,34.93,31.87,33.2
73,536,464,500,35.73,30.93,33.33
74,502,505,493,33.47,33.67,32.87
75,475,507,518,31.67,33.8,34.53
76,516,507,477,34.4,33.8,31.8
77,490,519,491,32.67,34.6,32.73
78,499,461,540,33.27,30.73,36.0
79,519,477,504,34.6,31.8,33.6
80,494,493,513,32.93,32.87,34.2
81,457,501,542,30.47,33.4,36.13
82,480,534,486,32.0,35.6,32.4
83,496,527,477,33.07,35.13,31.8
84,489,500,511,32.6,33.33,34.07
85,525,476,499,35.0,31.73,33.27
86,508,513,479,33.87,34.2,31.93
87,485,506,509,32.33,33.73,33.93
88,482,517,501,32.13,34.47,33.4
89,479,539,482,31.93,35.93,32.13
90,495,489,516,33.0,32.6,34.4
91,489,510,501,32.6,34.0,33.4
92,507,460,533,33.8,30.67,35.53
93,514,526,460,34.27,35.07,30.67
94,515,500,485,34.33,33.33,32.33
95,505,482,513,33.67,32.13,34.2
96,535,477,488,35.67,31.8,32.53
97,512,521,467,34.13,34.73,31.13
98,498,518,484,33.2,34.53,32.27
99,530,504,466,35.33,33.6,31.07
100,494,494,512,32.93,32.93,34.13
101,495,534,471,33.0,35.6,31.4
102,482,536,482,32.13,35.73,32.13
103,504,509,487,33.6,33.93,32.47
104,517,506,477,34.47,33.73,31.8
105,479,508,513,31.93,33.87,34.2
106,497,519,484,33.13,34.6,32.27
107,495,512,493,33.0,34.13,32.87
108,544,490,466,36.27,32.67,31.07
109,522,485,493,34.8,32.33,32.87
110,493,501,506,32.87,33.4,33.73
111,483,501,516,32.2,33.4,34.4
112,482,527,491,32.13,35.13,32.73
113,478,519,503,31.87,34.6,33.53
114,527,483,490,35.13,32.2,32.67
115,512,484,504,34.13,32.27,33.6
116,446,527,527,29.73,35.13,35.13
117,503,501,496,33.53,33.4,33.07
118,527,478,495,35.13,31.87,33.0
119,513,475,512,34.2,31.67,34.13
120,509,477,514,33.93,31.8,34.27
121,504,508,488,33.6,33.87,32.53
122,502,487,511,33.47,32.47,34.07
123,475,524,501,31.67,34.93,33.4
124,484,497,519,32.27,33.13,34.6
125,515,513,472,34.33,34.2,31.47
126,513,493,494,34.2,32.87,32.93
127,497,517,486,33.13,34.47,32.4
128,476,485,539,31.73,32.33,35.93
129,471,520,509,31.4,34.67,33.93
130,516,499,485,34.4,33.27,32.33
131,486,484,530,32.4,32.27,35.33
132,482,518,500,32.13,34.53,33.33
133,516,512,472,34.4,34.13,31.47
134,505,492,503,33.67,32.8,33.53
135,496,490,514,33.07,32.67,34.27
