Run #,Times 0,Times 1,Times 2,Times 3,Times 4,Times 5,Times 6,Times 7,Times 8,Times 9,Percent 0,Percent 1,Percent 2,Percent 3,Percent 4,Percent 5,Percent 6,Percent 7,Percent 8,Percent 9
0,483,470,509,519,489,505,509,489,513,514,9.66,9.4,10.18,10.38,9.78,10.1,10.18,9.78,10.26,10.28
1,484,520,499,497,491,504,506,511,528,460,9.68,10.4,9.98,9.94,9.82,10.08,10.12,10.22,10.56,9.2
2,516,490,478,504,510,525,482,506,502,487,10.32,9.8,9.56,10.08,10.2,10.5,9.64,10.12,10.04,9.74
3,517,505,513,483,490,544,494,498,475,481,10.34,10.1,10.26,9.66,9.8,10.88,9.88,9.96,9.5,9.62
4,484,494,514,518,487,496,518,513,507,469,9.68,9.88,10.28,10.36,9.74,9.92,10.36,10.26,10.14,9.38
5,481,530,487,519,509,494,457,485,526,512,9.62,10.6,9.74,10.38,10.18,9.88,9.14,9.7,10.52,10.24
6,505,520,473,487,476,481,513,501,510,534,10.1,10.4,9.46,9.74,9.52,9.62,10.26,10.02,10.2,10.68
7,487,504,486,521,523,463,502,527,487,500,9.74,10.08,9.72,10.42,10.46,9.26,10.04,10.54,9.74,10.0
8,507,508,532,515,503,526,492,469,475,473,10.14,10.16,10.64,10.3,10.06,10.52,9.84,9.38,9.5,9.46
9,508,509,505,504,505,475,523,495,485,491,10.16,10.18,10.1,10.08,10.1,9.5,10.46,9.9,9.7,9.82
10,524,473,507,487,524,501,508,470,484,522,10.48,9.46,10.14,9.74,10.48,10.02,10.16,9.4,9.68,10.44
11,470,497,508,500,505,488,533,505,483,511,9.4,9.94,10.16,10.0,10.1,9.76,10.66,10.1,9.66,10.22
12,490,471,521,493,479,476,531,511,491,537,9.8,9.42,10.42,9.86,9.58,9.52,10.62,10.22,9.82,10.74
13,496,503,544,494,513,478,491,499,483,499,9.92,10.06,10.88,9.88,10.26,9.56,9.82,9.98,9.66,9.98
14,544,453,541,496,469,491,508,482,491,525,10.88,9.06,10.82,9.92,9.38,9.82,10.16,9.64,9.82,10.5
15,466,553,538,490,533,486,501,492,473,468,9.32,11.06,10.76,9.8,10.66,9.72,10.02,9.84,9.46,9.36
16,502,487,504,506,496,517,494,470,503,521,10.04,9.74,10.08,10.12,9.92,10.34,9.88,9.4,10.06,10.42
17,526,527,475,505,496,497,485,494,473,522,10.52,10.54,9.5,10.1,9.92,9.94,9.7,9.88,9.46,10.44
18,515,520,507,489,495,505,476,493,495,505,10.3,10.4,10.14,9.78,9.9,10.1,9.52,9.86,9.9,10.1
19,498,552,466,490,482,519,503,474,525,491,9.96,11.04,9.32,9.8,9.64,10.38,10.06,9.48,10.5,9.82
20,506,509,531,491,500,495,480,489,518,481,10.12,10.18,10.62,9.82,10.0,9.9,9.6,9.78,10.36,9.62
21,499,458,509,495,480,509,490,518,528,514,9.98,9.16,10.18,9.9,9.6,10.18,9.8,10.36,10.56,10.28
22,495,525,479,511,538,481,484,475,521,491,9.9,10.5,9.58,10.22,10.76,9.62,9.68,9.5,10.42,9.82
23,494,457,509,495,514,507,489,536,477,522,9.88,9.14,10.18,9.9,10.28,10.14,9.78,10.72,9.54,10.44
24,509,518,496,513,516,466,477,520,500,485,10.18,10.36,9.92,10.26,10.32,9.32,9.54,10.4,10.0,9.7
25,495,518,483,481,497,513,494,513,507,499,9.9,10.36,9.66,9.62,9.94,10.26,9.88,10.26,10.14,9.98
26,481,499,503,505,493,511,485,467,526,530,9.62,9.98,10.06,10.1,9.86,10.22,9.7,9.34,10.52,10.6
27,492,448,502,514,510,486,534,471,520,523,9.84,8.96,10.04,10.28,10.2,9.72,10.68,9.42,10.4,10.46
28,498,449,493,496,517,525,517,480,506,519,9.96,8.98,9.86,9.92,10.34,10.5,10.34,9.6,10.12,10.38
29,495,527,507,501,536,483,487,498,457,509,9.9,10.54,10.14,10.02,10.72,9.66,9.74,9.96,9.14,10.18
30,530,486,502,492,495,499,503,456,495,542,10.6,9.72,10.04,9.84,9.9,9.98,10.06,9.12,9.9,10.84
31,487,478,523,535,519,493,514,490,498,463,9.74,9.56,10.46,10.7,10.38,9.86,10.28,9.8,9.96,9.26
32,517,497,530,510,502,471,519,494,492,468,10.34,9.94,10.6,10.2,10.04,9.42,10.38,9.88,9.84,9.36
