Number,Value
0,3
1,1
2,2
3,5
4,5
5,3
6,3
7,5
8,4
9,1
10,1
11,2
12,3
13,2
14,1
15,6
16,1
17,1
18,4
19,6
20,4
21,2
22,4
23,6
24,5
25,5
26,4
27,4
28,3
29,5
30,6
31,2
32,5
33,3
34,2
35,4
36,3
37,1
38,5
39,1
40,5
41,6
42,5
43,1
44,4
45,4
46,4
47,4
48,2
49,6
50,6
51,6
52,2
53,2
54,1
55,6
56,5
57,3
58,1
59,5
60,4
61,3
62,2
63,3
64,2
65,2
66,3
67,1
68,3
69,1
70,2
71,4
72,2
73,2
74,3
75,2
76,3
77,2
78,6
79,2
80,6
81,1
82,3
83,1
84,3
85,6
86,3
87,3
88,5
89,3
90,4
91,1
92,6
93,4
94,6
95,2
96,1
97,5
98,3
99,1
100,5
101,4
102,1
103,6
104,5
105,5
106,4
107,5
108,2
109,6
110,2
111,2
112,2
113,2
114,3
115,2
116,2
117,4
118,5
119,2
120,5
121,3
122,5
123,4
124,6
125,3
126,2
127,5
128,6
129,5
130,3
131,2
132,6
133,4
134,3
135,2
136,6
137,5
138,2
139,3
140,5
141,2
142,5
143,4
144,6
145,4
146,6
147,2
148,5
149,1
150,4
151,1
152,3
153,3
154,1
155,1
156,3
157,6
158,3
159,3
160,2
161,6
162,3
163,2
164,1
165,6
166,1
167,2
168,1
169,3
170,3
171,4
172,1
173,3
174,2
175,6
176,5
177,5
178,4
179,5
180,4
181,4
182,4
183,4
184,4
185,3
186,3
187,4
188,5
189,4
190,5
191,1
192,1
193,2
194,6
195,4
196,5
197,5
198,5
199,3
200,2
201,5
202,1
203,1
204,3
205,2
206,2
207,3
208,3
209,5
210,6
211,5
212,2
213,3
214,6
215,3
216,3
217,1
218,2
219,2
220,4
221,3
222,1
223,5
224,6
225,1
226,2
227,3
228,1
229,6
230,4
231,2
232,4
233,1
234,4
235,4
236,1
237,6
238,3
239,1
240,6
241,2
242,6
243,1
244,3
245,3
246,5
247,2
248,6
249,5
250,5
251,2
252,4
253,6
254,4
255,1
256,3
257,5
258,3
259,6
260,6
261,4
262,2
263,5
264,4
265,5
266,1
267,4
268,3
269,5
270,4
271,3
272,6
273,5
274,2
275,5
276,3
277,5
278,1
279,4
280,3
281,4
282,4
283,6
284,3
285,5
286,6
287,5
288,2
289,2
290,1
291,5
292,4
293,1
294,1
295,4
296,3
297,6
298,3
299,3
300,1
301,2
302,2
303,6
304,6
305,1
306,5
307,2
308,6
309,6
310,1
311,4
312,1
313,5
314,4
315,3
316,5
317,2
318,2
319,2
320,2
321,4
322,3
323,6
324,5
325,4
326,6
327,3
328,6
329,2
330,4
331,4
332,1
333,5
334,5
335,4
336,6
337,6
338,1
339,6
340,1
341,6
342,1
343,4
344,4
345,2
346,3
347,5
348,4
349,1
350,6
351,4
352,3
353,1
354,1
355,3
356,4
357,3
358,1
359,3
360,4
361,2
362,5
363,5
364,3
365,4
366,1
367,1
368,4
369,6
370,2
371,1
372,6
373,2
374,3
375,1
376,4
377,4
378,6
379,4
380,6
381,5
382,3
383,1
384,1
385,6
386,2
387,5
388,1
389,1
390,1
391,1
392,1
393,1
394,3
395,6
396,3
397,3
398,1
399,4
400,2
401,6
402,5
403,6
404,5
405,6
406,5
407,2
408,5
409,4
410,4
411,1
412,2
413,4
414,3
415,2
416,5
417,1
418,4
419,5
420,2
421,2
422,5
423,4
424,3
425,6
426,2
427,6
428,2
429,6
430,4
431,6
432,4
433,2
434,5
435,2
436,1
437,2
438,1
439,1
440,6
441,6
442,2
443,1
444,2
445,3
446,1
447,2
448,3
449,6
450,4
451,6
452,5
453,2
454,6
455,1
456,2
457,2
458,5
459,4
460,5
461,2
462,4
463,6
464,1
465,1
466,2
467,4
468,3
469,3
470,4
471,5
472,4
473,1
474,4
475,3
476,6
477,3
478,3
479,6
480,1
481,5
482,4
483,2
484,2
485,4
486,3
487,1
488,2
489,5
490,5
491,4
492,1
493,5
494,2
495,1
496,6
497,4
498,5
499,4
500,1
501,4
502,2
503,6
504,6
505,2
506,5
507,1
508,6
509,1
510,4
511,4
512,2
513,5
514,3
515,6
516,3
517,5
518,3
519,6
520,6
521,2
522,3
523,6
524,3
525,6
526,3
527,2
528,4
529,5
530,1
531,5
532,2
533,5
534,4
535,3
536,5
537,3
538,1
539,2
540,2
541,5
542,5
543,3
544,3
545,3
546,1
547,4
548,5
549,3
550,1
551,4
552,4
553,2
554,2
555,4
556,5
557,6
558,6
559,5
560,1
561,3
562,5
563,3
564,5
565,5
566,4
567,1
568,5
569,2
570,2
571,3
572,6
573,2
574,5
575,4
576,3
577,3
578,6
579,2
580,6
581,2
582,6
583,5
584,2
585,3
586,3
587,6
588,1
589,2
590,6
591,4
592,3
593,6
594,2
595,6
596,1
597,2
598,5
599,2
600,3
601,5
602,1
603,3
604,5
605,5
606,5
607,6
608,6
609,2
610,6
611,2
612,3
613,6
614,5
615,5
616,4
617,5
618,4
619,3
620,5
621,5
622,5
623,3
624,2
625,4
626,2
627,2
628,2
629,2
630,2
631,6
632,2
633,3
634,3
635,1
636,2
637,3
638,6
639,4
640,1
641,6
642,1
643,6
644,2
645,2
646,4
647,6
648,3
649,5
650,6
651,2
652,1
653,3
654,2
655,1
656,3
657,5
658,1
659,5
660,1
661,3
662,2
663,2
664,1
665,2
666,3
667,6
668,2
669,4
670,6
671,3
672,3
673,5
674,4
675,5
676,1
677,6
678,3
679,2
680,1
681,6
682,4
683,5
684,3
685,5
686,6
687,4
688,5
689,3
690,6
691,3
692,3
693,5
694,4
695,6
696,5
697,6
698,2
699,3
700,1
701,2
702,4
703,6
704,4
705,2
706,4
707,1
708,6
709,6
710,5
711,3
712,4
713,2
714,5
715,4
716,3
717,3
718,6
719,3
720,6
721,2
722,1
723,6
724,6
725,3
726,3
727,1
728,3
729,1
730,6
731,2
732,3
733,6
734,1
735,3
736,2
737,2
738,6
739,6
740,3
741,5
742,6
743,3
744,6
745,5
746,3
747,2
748,6
749,6
750,4
751,1
752,4
753,5
754,5
755,1
756,3
757,5
758,3
759,3
760,5
761,5
762,6
763,6
764,2
765,4
766,3
767,2
768,5
769,3
770,5
771,3
772,4
773,4
774,2
775,3
776,1
777,6
778,2
779,2
780,3
781,1
782,3
783,6
784,1
785,6
786,3
787,2
788,2
789,1
790,5
791,6
792,1
793,6
794,6
795,4
796,2
797,4
798,5
799,2
800,2
801,1
802,6
803,3
804,4
805,6
806,2
807,1
808,2
809,1
810,5
811,6
812,4
813,4
814,4
815,1
816,4
817,3
818,2
819,2
820,3
821,5
822,6
823,5
824,5
825,1
826,1
827,3
828,3
829,1
830,2
831,2
832,5
833,2
834,5
835,3
836,4
837,1
838,1
839,2
840,6
841,3
842,4
843,6
844,2
845,1
846,5
847,1
848,3
849,3
850,4
851,6
852,1
853,3
854,6
855,4
856,3
857,3
858,5
859,3
860,5
861,3
862,5
863,5
864,2
865,2
866,3
867,1
868,5
869,1
870,4
871,2
872,6
873,3
874,2
875,4
876,1
877,2
878,3
879,5
880,6
881,2
882,4
883,3
884,1
885,6
886,4
887,1
888,3
889,6
890,5
891,6
892,1
893,2
894,5
895,5
896,5
897,5
898,3
899,5
900,6
901,4
902,2
903,5
904,2
905,2
906,6
907,2
908,1
909,4
910,1
911,4
912,2
913,4
914,6
915,4
916,3
917,2
918,5
919,3
920,2
921,6
922,4
923,2
924,5
925,2
926,3
927,4
928,2
929,2
930,1
931,2
932,3
933,2
934,4
935,1
936,2
937,2
938,2
939,3
940,2
941,2
942,1
943,4
944,1
945,3
946,3
947,2
948,6
949,3
950,5
951,4
952,5
953,1
954,6
955,4
956,1
957,3
958,2
959,6
960,1
961,6
962,4
963,5
964,3
965,5
966,2
967,4
968,1
969,6
970,5
971,3
972,6
973,6
974,2
975,2
976,5
977,1
978,4
979,5
980,5
981,2
982,6
983,3
984,2
985,2
986,5
987,2
988,1
989,6
990,3
991,1
992,4
993,1
994,6
995,1
996,3
997,4
998,6
999,41000,3
1001,1
1002,4
1003,1
1004,1
1005,4
1006,4
1007,1
1008,2
1009,4
1010,1
1011,2
1012,2
1013,5
1014,2
1015,2
1016,5
1017,4
1018,6
1019,1
1020,6
1021,5
1022,2
1023,6
1024,6
1025,1
1026,4
1027,3
1028,5
1029,1
1030,2
1031,1
1032,6
1033,5
1034,4
1035,3
1036,1
1037,4
1038,4
1039,4
1040,4
1041,4
1042,1
1043,4
1044,4
1045,2
1046,4
1047,1
1048,1
1049,2
1050,6
1051,2
1052,1
1053,4
1054,3
1055,2
1056,3
1057,2
1058,2
1059,5
1060,6
1061,4
1062,1
1063,4
1064,4
1065,2
1066,5
1067,4
1068,5
1069,6
1070,1
1071,3
1072,4
1073,2
1074,4
1075,3
1076,6
1077,5
1078,1
1079,4
1080,5
1081,4
1082,3
1083,3
1084,1
1085,2
1086,1
1087,6
1088,4
1089,5
