Number,Value
0,1
1,1
2,3
3,2
4,4
5,5
6,5
7,6
8,4
9,2
10,5
11,5
12,5
13,6
14,6
15,6
16,6
17,2
18,2
19,5
20,2
21,4
22,2
23,6
24,3
25,3
26,6
27,3
28,3
29,6
30,1
31,6
32,1
33,1
34,1
35,5
36,4
37,6
38,1
39,6
40,2
41,3
42,5
43,4
44,3
45,5
46,6
47,1
48,6
49,2
50,3
51,2
52,6
53,6
54,4
55,5
56,6
57,3
58,4
59,2
60,2
61,5
62,3
63,3
64,6
65,4
66,4
67,1
68,2
69,4
70,5
71,6
72,2
73,1
74,1
75,2
76,5
77,2
78,4
79,2
80,2
81,3
82,6
83,4
84,3
85,6
86,6
87,5
88,1
89,6
90,4
91,6
92,4
93,2
94,6
95,6
96,3
97,5
98,6
99,5
100,4
101,6
102,3
103,6
104,4
105,1
106,5
107,3
108,3
109,5
110,5
111,3
112,5
113,4
114,2
115,1
116,3
117,4
118,5
119,2
120,4
121,4
122,5
123,3
124,5
125,6
126,3
127,3
128,4
129,3
130,1
131,3
132,6
133,1
134,4
135,1
136,1
137,1
138,6
139,1
140,2
141,2
142,2
143,5
144,5
145,5
146,1
147,1
148,2
149,1
150,5
151,4
152,4
153,6
154,3
155,1
156,1
157,3
158,4
159,4
160,3
161,4
162,6
163,3
164,6
165,1
166,2
167,3
168,2
169,6
170,1
171,4
172,6
173,6
174,1
175,5
176,1
177,3
178,6
179,6
180,6
181,6
182,1
183,5
184,1
185,1
186,3
187,4
188,4
189,5
190,5
191,1
192,5
193,4
194,2
195,6
196,4
197,6
198,1
199,2
200,3
201,3
202,3
203,2
204,3
205,3
206,1
207,3
208,2
209,5
210,5
211,4
212,6
213,4
214,5
215,5
216,3
217,5
218,4
219,2
220,4
221,6
222,2
223,6
224,5
225,4
226,4
227,6
228,2
229,4
230,6
231,5
232,3
233,1
234,5
235,1
236,1
237,5
238,5
239,3
240,6
241,3
242,6
243,1
244,1
245,2
246,4
247,6
248,5
249,6
250,4
251,6
252,2
253,4
254,1
255,1
256,4
257,2
258,2
259,2
260,2
261,1
262,6
263,3
264,6
265,3
266,1
267,2
268,2
269,2
270,4
271,1
272,4
273,2
274,3
275,1
276,5
277,5
278,1
279,1
280,3
281,5
282,4
283,3
284,2
285,4
286,6
287,4
288,3
289,2
290,2
291,1
292,3
293,4
294,1
295,6
296,1
297,2
298,5
299,2
300,3
301,5
302,4
303,1
304,6
305,4
306,1
307,6
308,1
309,1
310,3
311,6
312,3
313,3
314,4
315,1
316,5
317,5
318,4
319,3
320,6
321,6
322,5
323,3
324,4
325,3
326,3
327,6
328,4
329,5
330,1
331,4
332,3
333,1
334,1
335,6
336,3
337,3
338,2
339,4
340,6
341,1
342,2
343,3
344,6
345,1
346,4
347,6
348,6
349,3
350,3
351,3
352,6
353,3
354,1
355,3
356,3
357,5
358,2
359,3
360,1
361,1
362,3
363,1
364,3
365,2
366,6
367,3
368,1
369,4
370,5
371,4
372,6
373,1
374,5
375,3
376,4
377,6
378,6
379,2
380,5
381,4
382,3
383,4
384,6
385,5
386,6
387,6
388,6
389,4
390,2
391,6
392,3
393,6
394,3
395,3
396,2
397,2
398,4
399,2
400,2
401,3
402,6
403,4
404,5
405,4
406,5
407,3
408,5
409,5
410,2
411,2
412,1
413,6
414,3
415,2
416,4
417,3
418,1
419,4
420,5
421,6
422,6
423,4
424,1
425,2
426,2
427,3
428,1
429,4
430,2
431,2
432,4
433,3
434,1
435,2
436,3
437,1
438,2
439,3
440,5
441,2
442,6
443,3
444,6
445,4
446,4
447,3
448,3
449,2
450,1
451,4
452,1
453,4
454,6
455,2
456,4
457,1
458,5
459,2
460,4
461,2
462,3
463,4
464,2
465,2
466,4
467,2
468,3
469,2
470,5
471,6
472,2
473,1
474,1
475,1
476,2
477,6
478,2
479,2
480,1
481,5
482,4
483,6
484,2
485,3
486,5
487,4
488,1
489,4
490,1
491,2
492,4
493,4
494,1
495,5
496,3
497,1
498,3
499,5
500,4
501,3
502,3
503,5
504,2
505,6
506,3
507,6
508,1
509,2
510,4
511,5
512,6
513,1
514,5
515,1
516,5
517,1
518,1
519,4
520,2
521,6
522,5
523,5
524,6
525,1
526,5
527,2
528,6
529,3
530,1
531,5
532,6
533,4
534,1
535,5
536,3
537,6
538,3
539,2
540,5
541,6
542,2
543,2
544,1
545,5
546,2
547,4
548,6
549,6
550,6
551,2
552,5
553,5
554,6
555,4
556,3
557,3
558,5
559,1
560,2
561,6
562,2
563,6
564,3
565,4
566,1
567,1
568,3
569,5
570,6
571,4
572,1
573,2
574,1
575,4
576,5
577,2
578,5
579,4
580,5
581,1
582,2
583,3
584,2
585,4
586,2
587,4
588,3
589,3
590,5
591,6
592,5
593,1
594,6
595,1
596,6
597,4
598,4
599,5
600,5
601,5
602,6
603,1
604,5
605,3
606,6
607,5
608,6
609,6
610,5
611,1
612,4
613,3
614,2
615,6
616,2
617,2
618,6
619,3
620,2
621,6
622,3
623,4
624,4
625,4
626,1
627,3
628,1
629,1
630,2
631,6
632,5
633,1
634,4
635,4
636,1
637,3
638,4
639,1
640,4
641,5
642,3
643,4
644,3
645,5
646,6
647,2
648,5
649,2
650,6
651,2
652,2
653,2
654,2
655,6
656,4
657,2
658,5
659,5
660,2
661,4
662,6
663,2
664,5
665,5
666,3
667,4
668,1
669,3
670,2
671,4
672,6
673,4
674,5
675,2
676,2
677,3
678,6
679,5
680,1
681,2
682,1
683,4
684,2
685,6
686,6
687,1
688,4
689,3
690,3
691,1
692,6
693,4
694,6
695,3
696,2
697,5
698,6
699,1
700,3
701,6
702,6
703,2
704,5
705,2
706,5
707,6
708,6
709,3
710,3
711,6
712,5
713,3
714,5
715,4
716,3
717,5
718,1
719,2
720,6
721,3
722,3
723,2
724,4
725,5
726,6
727,3
728,4
729,5
730,5
731,3
732,4
733,6
734,1
735,5
736,5
737,5
738,1
739,4
740,1
741,5
742,5
743,6
744,6
745,4
746,4
747,5
748,6
749,3
750,4
751,3
752,2
753,2
754,4
755,6
756,6
757,6
758,1
759,3
760,3
761,4
762,5
763,6
764,6
765,2
766,3
767,2
768,3
769,3
770,2
771,5
772,6
773,5
774,2
775,5
776,2
777,3
778,2
779,6
780,3
781,3
782,6
783,5
784,6
785,6
786,4
787,5
788,5
789,3
790,1
791,3
792,3
793,5
794,3
795,5
796,6
797,3
798,3
799,2
800,2
801,1
802,4
803,6
804,3
805,4
806,2
807,5
808,1
809,3
810,2
811,6
